EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0098 
   2o - 0093 
   3o - 0099 
   4o - 0096 
   5o - 0097 
   6o - 0095 
   7o - 0092 
   8o - 0094 
   9o - 0091 
  10o - 0087 
  11o - 0081 
  12o - 0090 
  13o - 0089 
  14o - 0080 
  15o - 0084 
  16o - 0082 
  17o - 0088 
  18o - 0078 
  19o - 0079 
  20o - 0083 
  21o - 0071 
  22o - 0086 
  23o - 0085 
  24o - 0072 
  25o - 0076 
  26o - 0073 
  27o - 0077 
  28o - 0066 
  29o - 0070 
  30o - 0069 
  31o - 0060 
  32o - 0075 
  33o - 0074 
  34o - 0057 
  35o - 0061 
  36o - 0068 
  37o - 0058 
  38o - 0059 
  39o - 0063 
  40o - 0065 
  41o - 0062 
  42o - 0055 
  43o - 0053 
  44o - 0067 
  45o - 0064 
  46o - 0052 
  47o - 0051 
  48o - 0048 
  49o - 0056 
  50o - 0045 
  51o - 0054 
  52o - 0046 
  53o - 0050 
  54o - 0049 
  55o - 0040 
  56o - 0041 
  57o - 0038 
  58o - 0047 
  59o - 0044 
  60o - 0036 
  61o - 0042 
  62o - 0034 
  63o - 0032 
  64o - 0030 
  65o - 0039 
  66o - 0031 
  67o - 0043 
  68o - 0024 
  69o - 0035 
  70o - 0027 
  71o - 0037 
  72o - 0023 
  73o - 0029 
  74o - 0028 
  75o - 0025 
  76o - 0021 
  77o - 0033 
  78o - 0015 
  79o - 0020 
  80o - 0017 
  81o - 0022 
  82o - 0026 
  83o - 0014 
  84o - 0019 
  85o - 0016 
  86o - 0010 
  87o - 0013 
  88o - 0012 
  89o - 0018 
  90o - 0009 
  91o - 0006 
  92o - 0011 
  93o - 0000 
  94o - 0005 
  95o - 0002 
  96o - 0007 
  97o - 0008 
  98o - 0004 
  99o - 0001 
 100o - 0003 


Ranking - Rodada 2:
   1o - 0093 
   2o - 0098 
   3o - 0099 
   4o - 0097 
   5o - 0096 
   6o - 0095 
   7o - 0092 
   8o - 0094 
   9o - 0081 
  10o - 0087 
  11o - 0089 
  12o - 0090 
  13o - 0080 
  14o - 0088 
  15o - 0082 
  16o - 0079 
  17o - 0083 
  18o - 0071 
  19o - 0085 
  20o - 0086 
  21o - 0072 
  22o - 0078 
  23o - 0076 
  24o - 0077 
  25o - 0066 
  26o - 0060 
  27o - 0075 
  28o - 0074 
  29o - 0070 
  30o - 0057 
  31o - 0068 
  32o - 0061 
  33o - 0059 
  34o - 0063 
  35o - 0062 
  36o - 0055 
  37o - 0067 
  38o - 0052 
  39o - 0051 
  40o - 0045 
  41o - 0048 
  42o - 0054 
  43o - 0056 
  44o - 0050 
  45o - 0046 
  46o - 0049 
  47o - 0044 
