EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0021 
   2o - 0024 
   3o - 0025 
   4o - 0031 
   5o - 0032 
   6o - 0055 
   7o - 0053 
   8o - 0054 
   9o - 0006 
  10o - 0036 
  11o - 0037 
  12o - 0039 
  13o - 0010 
  14o - 0052 
  15o - 0014 
  16o - 0079 
  17o - 0027 
  18o - 0078 
  19o - 0034 
  20o - 0077 
  21o - 0095 
  22o - 0070 
  23o - 0026 
  24o - 0066 
  25o - 0093 
  26o - 0096 
  27o - 0092 
  28o - 0003 
  29o - 0033 
  30o - 0091 
  31o - 0068 
  32o - 0062 
  33o - 0088 
  34o - 0064 
  35o - 0090 
  36o - 0094 
  37o - 0030 
  38o - 0038 
  39o - 0043 
  40o - 0028 
  41o - 0044 
  42o - 0089 
  43o - 0017 
  44o - 0035 
  45o - 0016 
  46o - 0097 
  47o - 0087 
  48o - 0022 
  49o - 0004 
  50o - 0001 
  51o - 0083 
  52o - 0081 
  53o - 0085 
  54o - 0029 
  55o - 0086 
  56o - 0080 
  57o - 0098 
  58o - 0019 
  59o - 0084 
  60o - 0082 
  61o - 0074 
  62o - 0075 
  63o - 0071 
  64o - 0069 
  65o - 0073 
  66o - 0067 
  67o - 0065 
  68o - 0099 
  69o - 0059 
  70o - 0057 
  71o - 0060 
  72o - 0051 
  73o - 0072 
  74o - 0063 
  75o - 0042 
  76o - 0061 
  77o - 0076 
  78o - 0047 
  79o - 0040 
  80o - 0050 
  81o - 0018 
  82o - 0041 
  83o - 0023 
  84o - 0049 
  85o - 0005 
  86o - 0056 
  87o - 0046 
  88o - 0020 
  89o - 0058 
  90o - 0011 
  91o - 0013 
  92o - 0015 
  93o - 0002 
  94o - 0012 
  95o - 0048 
  96o - 0009 
  97o - 0008 
  98o - 0007 
  99o - 0045 
 100o - 0000 


Ranking - Rodada 2:
   1o - 0021 
   2o - 0032 
   3o - 0055 
   4o - 0054 
   5o - 0053 
   6o - 0037 
   7o - 0006 
   8o - 0039 
   9o - 0014 
  10o - 0010 
  11o - 0052 
  12o - 0079 
  13o - 0027 
  14o - 0078 
  15o - 0070 
  16o - 0095 
  17o - 0077 
  18o - 0026 
  19o - 0093 
  20o - 0066 
  21o - 0068 
  22o - 0003 
  23o - 0091 
  24o - 0033 
  25o - 0092 
  26o - 0062 
  27o - 0088 
  28o - 0064 
  29o - 0090 
  30o - 0043 
  31o - 0089 
  32o - 0028 
  33o - 0038 
  34o - 0035 
  35o - 0016 
  36o - 0087 
  37o - 0001 
  38o - 0097 
  39o - 0004 
  40o - 0081 
  41o - 0085 
  42o - 0029 
  43o - 0083 
  44o - 0084 
  45o - 0080 
  46o - 0086 
  47o - 0074 
