EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0097 
   2o - 0094 
   3o - 0098 
   4o - 0090 
   5o - 0093 
   6o - 0001 
   7o - 0029 
   8o - 0095 
   9o - 0092 
  10o - 0099 
  11o - 0080 
  12o - 0002 
  13o - 0036 
  14o - 0091 
  15o - 0096 
  16o - 0071 
  17o - 0049 
  18o - 0079 
  19o - 0054 
  20o - 0087 
  21o - 0044 
  22o - 0043 
  23o - 0041 
  24o - 0053 
  25o - 0063 
  26o - 0032 
  27o - 0086 
  28o - 0070 
  29o - 0051 
  30o - 0035 
  31o - 0037 
  32o - 0031 
  33o - 0004 
  34o - 0000 
  35o - 0005 
  36o - 0030 
  37o - 0034 
  38o - 0089 
  39o - 0017 
  40o - 0006 
  41o - 0052 
  42o - 0081 
  43o - 0088 
  44o - 0083 
  45o - 0085 
  46o - 0011 
  47o - 0039 
  48o - 0077 
  49o - 0018 
  50o - 0084 
  51o - 0067 
  52o - 0074 
  53o - 0075 
  54o - 0082 
  55o - 0069 
  56o - 0068 
  57o - 0078 
  58o - 0076 
  59o - 0064 
  60o - 0073 
  61o - 0060 
  62o - 0065 
  63o - 0066 
  64o - 0072 
  65o - 0056 
  66o - 0061 
  67o - 0062 
  68o - 0057 
  69o - 0059 
  70o - 0047 
  71o - 0042 
  72o - 0048 
  73o - 0033 
  74o - 0045 
  75o - 0055 
  76o - 0027 
  77o - 0040 
  78o - 0038 
  79o - 0026 
  80o - 0028 
  81o - 0058 
  82o - 0022 
  83o - 0025 
  84o - 0050 
  85o - 0024 
  86o - 0023 
  87o - 0046 
  88o - 0013 
  89o - 0014 
  90o - 0008 
  91o - 0019 
  92o - 0009 
  93o - 0010 
  94o - 0016 
  95o - 0020 
  96o - 0015 
  97o - 0003 
  98o - 0007 
  99o - 0021 
 100o - 0012 


Ranking - Rodada 2:
   1o - 0093 
   2o - 0097 
   3o - 0090 
   4o - 0098 
   5o - 0029 
   6o - 0092 
   7o - 0099 
   8o - 0091 
   9o - 0036 
  10o - 0095 
  11o - 0096 
  12o - 0080 
  13o - 0002 
  14o - 0049 
  15o - 0079 
  16o - 0043 
  17o - 0054 
  18o - 0044 
  19o - 0087 
  20o - 0032 
  21o - 0053 
  22o - 0041 
  23o - 0086 
  24o - 0063 
  25o - 0037 
  26o - 0051 
  27o - 0034 
  28o - 0005 
  29o - 0030 
  30o - 0004 
  31o - 0031 
  32o - 0017 
  33o - 0052 
  34o - 0006 
  35o - 0089 
  36o - 0081 
  37o - 0088 
  38o - 0083 
  39o - 0011 
  40o - 0018 
  41o - 0084 
  42o - 0077 
  43o - 0078 
  44o - 0082 
  45o - 0074 
  46o - 0068 
  47o - 0067 
