EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0095 
   2o - 0098 
   3o - 0099 
   4o - 0097 
   5o - 0096 
   6o - 0092 
   7o - 0091 
   8o - 0085 
   9o - 0086 
  10o - 0093 
  11o - 0090 
  12o - 0089 
  13o - 0088 
  14o - 0094 
  15o - 0087 
  16o - 0081 
  17o - 0079 
  18o - 0082 
  19o - 0084 
  20o - 0078 
  21o - 0077 
  22o - 0080 
  23o - 0076 
  24o - 0073 
  25o - 0083 
  26o - 0074 
  27o - 0075 
  28o - 0070 
  29o - 0069 
  30o - 0065 
  31o - 0071 
  32o - 0066 
  33o - 0067 
  34o - 0068 
  35o - 0061 
  36o - 0062 
  37o - 0060 
  38o - 0058 
  39o - 0063 
  40o - 0059 
  41o - 0072 
  42o - 0057 
  43o - 0055 
  44o - 0064 
  45o - 0051 
  46o - 0056 
  47o - 0046 
  48o - 0052 
  49o - 0050 
  50o - 0048 
  51o - 0053 
  52o - 0047 
  53o - 0049 
  54o - 0054 
  55o - 0044 
  56o - 0042 
  57o - 0043 
  58o - 0038 
  59o - 0024 
  60o - 0041 
  61o - 0045 
  62o - 0021 
  63o - 0040 
  64o - 0034 
  65o - 0033 
  66o - 0037 
  67o - 0035 
  68o - 0030 
  69o - 0039 
  70o - 0031 
  71o - 0036 
  72o - 0028 
  73o - 0032 
  74o - 0029 
  75o - 0023 
  76o - 0027 
  77o - 0020 
  78o - 0025 
  79o - 0022 
  80o - 0026 
  81o - 0017 
  82o - 0007 
  83o - 0013 
  84o - 0014 
  85o - 0012 
  86o - 0018 
  87o - 0015 
  88o - 0019 
  89o - 0016 
  90o - 0004 
  91o - 0008 
  92o - 0009 
  93o - 0010 
  94o - 0011 
  95o - 0006 
  96o - 0005 
  97o - 0001 
  98o - 0000 
  99o - 0003 
 100o - 0002 


Ranking - Rodada 2:
   1o - 0099 
   2o - 0098 
   3o - 0097 
   4o - 0091 
   5o - 0092 
   6o - 0085 
   7o - 0090 
   8o - 0089 
   9o - 0093 
  10o - 0088 
  11o - 0094 
  12o - 0087 
  13o - 0081 
  14o - 0079 
  15o - 0084 
  16o - 0077 
  17o - 0080 
  18o - 0073 
  19o - 0083 
  20o - 0074 
  21o - 0075 
  22o - 0070 
  23o - 0069 
  24o - 0066 
  25o - 0065 
  26o - 0068 
  27o - 0062 
  28o - 0067 
  29o - 0060 
  30o - 0061 
  31o - 0058 
  32o - 0063 
  33o - 0072 
  34o - 0055 
  35o - 0057 
  36o - 0059 
  37o - 0056 
  38o - 0046 
  39o - 0048 
  40o - 0047 
  41o - 0054 
  42o - 0053 
  43o - 0049 
  44o - 0050 
  45o - 0052 
  46o - 0043 
  47o - 0044 
