EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0019 
   2o - 0015 
   3o - 0016 
   4o - 0017 
   5o - 0014 
   6o - 0024 
   7o - 0020 
   8o - 0022 
   9o - 0027 
  10o - 0098 
  11o - 0099 
  12o - 0025 
  13o - 0026 
  14o - 0021 
  15o - 0095 
  16o - 0023 
  17o - 0096 
  18o - 0094 
  19o - 0091 
  20o - 0097 
  21o - 0089 
  22o - 0092 
  23o - 0093 
  24o - 0090 
  25o - 0085 
  26o - 0086 
  27o - 0087 
  28o - 0084 
  29o - 0081 
  30o - 0080 
  31o - 0083 
  32o - 0079 
  33o - 0088 
  34o - 0078 
  35o - 0076 
  36o - 0082 
  37o - 0074 
  38o - 0077 
  39o - 0073 
  40o - 0072 
  41o - 0070 
  42o - 0071 
  43o - 0075 
  44o - 0069 
  45o - 0063 
  46o - 0064 
  47o - 0068 
  48o - 0066 
  49o - 0067 
  50o - 0065 
  51o - 0060 
  52o - 0062 
  53o - 0054 
  54o - 0057 
  55o - 0059 
  56o - 0053 
  57o - 0058 
  58o - 0049 
  59o - 0055 
  60o - 0048 
  61o - 0052 
  62o - 0050 
  63o - 0047 
  64o - 0046 
  65o - 0061 
  66o - 0043 
  67o - 0044 
  68o - 0039 
  69o - 0045 
  70o - 0038 
  71o - 0051 
  72o - 0041 
  73o - 0042 
  74o - 0056 
  75o - 0036 
  76o - 0034 
  77o - 0032 
  78o - 0029 
  79o - 0035 
  80o - 0037 
  81o - 0030 
  82o - 0031 
  83o - 0011 
  84o - 0009 
  85o - 0028 
  86o - 0040 
  87o - 0013 
  88o - 0006 
  89o - 0033 
  90o - 0008 
  91o - 0003 
  92o - 0000 
  93o - 0012 
  94o - 0001 
  95o - 0004 
  96o - 0002 
  97o - 0018 
  98o - 0010 
  99o - 0005 
 100o - 0007 


Ranking - Rodada 2:
   1o - 0016 
   2o - 0015 
   3o - 0019 
   4o - 0014 
   5o - 0017 
   6o - 0022 
   7o - 0027 
   8o - 0024 
   9o - 0025 
  10o - 0026 
  11o - 0021 
  12o - 0098 
  13o - 0095 
  14o - 0096 
  15o - 0023 
  16o - 0094 
  17o - 0091 
  18o - 0097 
  19o - 0090 
  20o - 0092 
  21o - 0089 
  22o - 0093 
  23o - 0084 
  24o - 0087 
  25o - 0086 
  26o - 0085 
  27o - 0080 
  28o - 0083 
  29o - 0081 
  30o - 0078 
  31o - 0082 
  32o - 0077 
  33o - 0076 
  34o - 0074 
  35o - 0071 
  36o - 0073 
  37o - 0072 
  38o - 0070 
  39o - 0075 
  40o - 0063 
  41o - 0068 
  42o - 0069 
  43o - 0064 
  44o - 0067 
  45o - 0065 
  46o - 0060 
  47o - 0062 
