EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0089 
   2o - 0016 
   3o - 0019 
   4o - 0099 
   5o - 0024 
   6o - 0086 
   7o - 0078 
   8o - 0025 
   9o - 0079 
  10o - 0085 
  11o - 0066 
  12o - 0077 
  13o - 0068 
  14o - 0069 
  15o - 0057 
  16o - 0098 
  17o - 0067 
  18o - 0058 
  19o - 0026 
  20o - 0097 
  21o - 0051 
  22o - 0048 
  23o - 0031 
  24o - 0093 
  25o - 0047 
  26o - 0090 
  27o - 0041 
  28o - 0095 
  29o - 0014 
  30o - 0094 
  31o - 0096 
  32o - 0092 
  33o - 0039 
  34o - 0008 
  35o - 0010 
  36o - 0032 
  37o - 0038 
  38o - 0009 
  39o - 0091 
  40o - 0011 
  41o - 0084 
  42o - 0088 
  43o - 0074 
  44o - 0076 
  45o - 0075 
  46o - 0081 
  47o - 0083 
  48o - 0080 
  49o - 0087 
  50o - 0072 
  51o - 0065 
  52o - 0064 
  53o - 0071 
  54o - 0060 
  55o - 0063 
  56o - 0070 
  57o - 0073 
  58o - 0062 
  59o - 0059 
  60o - 0061 
  61o - 0055 
  62o - 0054 
  63o - 0046 
  64o - 0056 
  65o - 0045 
  66o - 0052 
  67o - 0082 
  68o - 0049 
  69o - 0042 
  70o - 0053 
  71o - 0050 
  72o - 0043 
  73o - 0030 
  74o - 0034 
  75o - 0040 
  76o - 0035 
  77o - 0028 
  78o - 0023 
  79o - 0036 
  80o - 0029 
  81o - 0033 
  82o - 0022 
  83o - 0044 
  84o - 0021 
  85o - 0037 
  86o - 0017 
  87o - 0020 
  88o - 0015 
  89o - 0013 
  90o - 0001 
  91o - 0018 
  92o - 0005 
  93o - 0002 
  94o - 0027 
  95o - 0012 
  96o - 0007 
  97o - 0004 
  98o - 0003 
  99o - 0000 
 100o - 0006 


Ranking - Rodada 2:
   1o - 0019 
   2o - 0024 
   3o - 0016 
   4o - 0099 
   5o - 0089 
   6o - 0078 
   7o - 0085 
   8o - 0086 
   9o - 0025 
  10o - 0077 
  11o - 0098 
  12o - 0097 
  13o - 0067 
  14o - 0057 
  15o - 0026 
  16o - 0058 
  17o - 0051 
  18o - 0031 
  19o - 0048 
  20o - 0093 
  21o - 0094 
  22o - 0095 
  23o - 0047 
  24o - 0090 
  25o - 0041 
  26o - 0096 
  27o - 0092 
  28o - 0091 
  29o - 0009 
  30o - 0010 
  31o - 0011 
  32o - 0032 
  33o - 0038 
  34o - 0008 
  35o - 0084 
  36o - 0074 
  37o - 0087 
  38o - 0080 
  39o - 0081 
  40o - 0083 
  41o - 0076 
  42o - 0065 
  43o - 0072 
  44o - 0063 
  45o - 0062 
  46o - 0070 
  47o - 0073 
