EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0030 
   2o - 0047 
   3o - 0032 
   4o - 0034 
   5o - 0031 
   6o - 0095 
   7o - 0098 
   8o - 0096 
   9o - 0099 
  10o - 0097 
  11o - 0092 
  12o - 0093 
  13o - 0094 
  14o - 0090 
  15o - 0091 
  16o - 0085 
  17o - 0087 
  18o - 0088 
  19o - 0089 
  20o - 0084 
  21o - 0081 
  22o - 0082 
  23o - 0080 
  24o - 0086 
  25o - 0078 
  26o - 0083 
  27o - 0076 
  28o - 0077 
  29o - 0079 
  30o - 0074 
  31o - 0072 
  32o - 0075 
  33o - 0073 
  34o - 0070 
  35o - 0061 
  36o - 0062 
  37o - 0068 
  38o - 0071 
  39o - 0067 
  40o - 0063 
  41o - 0065 
  42o - 0069 
  43o - 0060 
  44o - 0064 
  45o - 0055 
  46o - 0066 
  47o - 0059 
  48o - 0058 
  49o - 0056 
  50o - 0052 
  51o - 0053 
  52o - 0050 
  53o - 0049 
  54o - 0048 
  55o - 0051 
  56o - 0054 
  57o - 0039 
  58o - 0057 
  59o - 0044 
  60o - 0043 
  61o - 0040 
  62o - 0045 
  63o - 0035 
  64o - 0038 
  65o - 0041 
  66o - 0046 
  67o - 0042 
  68o - 0029 
  69o - 0027 
  70o - 0033 
  71o - 0022 
  72o - 0023 
  73o - 0026 
  74o - 0036 
  75o - 0025 
  76o - 0037 
  77o - 0005 
  78o - 0024 
  79o - 0018 
  80o - 0003 
  81o - 0020 
  82o - 0015 
  83o - 0014 
  84o - 0019 
  85o - 0021 
  86o - 0011 
  87o - 0028 
  88o - 0009 
  89o - 0010 
  90o - 0016 
  91o - 0012 
  92o - 0017 
  93o - 0000 
  94o - 0013 
  95o - 0001 
  96o - 0002 
  97o - 0004 
  98o - 0006 
  99o - 0007 
 100o - 0008 


Ranking - Rodada 2:
   1o - 0032 
   2o - 0047 
   3o - 0031 
   4o - 0034 
   5o - 0030 
   6o - 0099 
   7o - 0095 
   8o - 0098 
   9o - 0096 
  10o - 0093 
  11o - 0094 
  12o - 0092 
  13o - 0091 
  14o - 0085 
  15o - 0089 
  16o - 0088 
  17o - 0087 
  18o - 0082 
  19o - 0081 
  20o - 0084 
  21o - 0086 
  22o - 0080 
  23o - 0077 
  24o - 0079 
  25o - 0076 
  26o - 0083 
  27o - 0078 
  28o - 0073 
  29o - 0072 
  30o - 0074 
  31o - 0070 
  32o - 0075 
  33o - 0071 
  34o - 0061 
  35o - 0067 
  36o - 0064 
  37o - 0063 
  38o - 0069 
  39o - 0065 
  40o - 0059 
  41o - 0066 
  42o - 0058 
  43o - 0056 
  44o - 0053 
  45o - 0050 
  46o - 0052 
  47o - 0048 
