EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0091 
   2o - 0094 
   3o - 0095 
   4o - 0092 
   5o - 0093 
   6o - 0086 
   7o - 0090 
   8o - 0099 
   9o - 0089 
  10o - 0088 
  11o - 0098 
  12o - 0096 
  13o - 0063 
  14o - 0060 
  15o - 0061 
  16o - 0062 
  17o - 0087 
  18o - 0084 
  19o - 0097 
  20o - 0082 
  21o - 0083 
  22o - 0059 
  23o - 0085 
  24o - 0081 
  25o - 0080 
  26o - 0077 
  27o - 0076 
  28o - 0078 
  29o - 0071 
  30o - 0058 
  31o - 0075 
  32o - 0073 
  33o - 0079 
  34o - 0067 
  35o - 0072 
  36o - 0066 
  37o - 0068 
  38o - 0070 
  39o - 0056 
  40o - 0065 
  41o - 0074 
  42o - 0069 
  43o - 0051 
  44o - 0054 
  45o - 0064 
  46o - 0057 
  47o - 0053 
  48o - 0055 
  49o - 0049 
  50o - 0052 
  51o - 0050 
  52o - 0041 
  53o - 0046 
  54o - 0048 
  55o - 0044 
  56o - 0047 
  57o - 0042 
  58o - 0036 
  59o - 0045 
  60o - 0043 
  61o - 0034 
  62o - 0030 
  63o - 0040 
  64o - 0031 
  65o - 0038 
  66o - 0039 
  67o - 0032 
  68o - 0028 
  69o - 0035 
  70o - 0024 
  71o - 0022 
  72o - 0029 
  73o - 0020 
  74o - 0033 
  75o - 0037 
  76o - 0026 
  77o - 0021 
  78o - 0027 
  79o - 0025 
  80o - 0013 
  81o - 0014 
  82o - 0010 
  83o - 0017 
  84o - 0015 
  85o - 0016 
  86o - 0018 
  87o - 0009 
  88o - 0011 
  89o - 0019 
  90o - 0002 
  91o - 0000 
  92o - 0012 
  93o - 0008 
  94o - 0023 
  95o - 0004 
  96o - 0005 
  97o - 0003 
  98o - 0007 
  99o - 0001 
 100o - 0006 


Ranking - Rodada 2:
   1o - 0095 
   2o - 0094 
   3o - 0092 
   4o - 0090 
   5o - 0086 
   6o - 0099 
   7o - 0098 
   8o - 0063 
   9o - 0096 
  10o - 0084 
  11o - 0062 
  12o - 0087 
  13o - 0061 
  14o - 0060 
  15o - 0085 
  16o - 0082 
  17o - 0059 
  18o - 0078 
  19o - 0077 
  20o - 0080 
  21o - 0081 
  22o - 0076 
  23o - 0071 
  24o - 0073 
  25o - 0075 
  26o - 0079 
  27o - 0058 
  28o - 0068 
  29o - 0066 
  30o - 0074 
  31o - 0065 
  32o - 0056 
  33o - 0070 
  34o - 0064 
  35o - 0054 
  36o - 0057 
  37o - 0053 
  38o - 0052 
  39o - 0050 
  40o - 0042 
  41o - 0048 
  42o - 0047 
  43o - 0046 
  44o - 0036 
  45o - 0043 
  46o - 0034 
  47o - 0038 
