EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0096 
   2o - 0095 
   3o - 0099 
   4o - 0097 
   5o - 0098 
   6o - 0092 
   7o - 0094 
   8o - 0087 
   9o - 0091 
  10o - 0084 
  11o - 0086 
  12o - 0088 
  13o - 0089 
  14o - 0093 
  15o - 0083 
  16o - 0085 
  17o - 0082 
  18o - 0080 
  19o - 0077 
  20o - 0078 
  21o - 0090 
  22o - 0079 
  23o - 0076 
  24o - 0075 
  25o - 0074 
  26o - 0070 
  27o - 0072 
  28o - 0081 
  29o - 0071 
  30o - 0068 
  31o - 0073 
  32o - 0067 
  33o - 0065 
  34o - 0062 
  35o - 0069 
  36o - 0050 
  37o - 0066 
  38o - 0051 
  39o - 0061 
  40o - 0063 
  41o - 0064 
  42o - 0053 
  43o - 0060 
  44o - 0058 
  45o - 0055 
  46o - 0059 
  47o - 0056 
  48o - 0047 
  49o - 0045 
  50o - 0046 
  51o - 0052 
  52o - 0049 
  53o - 0048 
  54o - 0057 
  55o - 0040 
  56o - 0038 
  57o - 0044 
  58o - 0039 
  59o - 0054 
  60o - 0041 
  61o - 0030 
  62o - 0034 
  63o - 0042 
  64o - 0043 
  65o - 0036 
  66o - 0033 
  67o - 0037 
  68o - 0032 
  69o - 0031 
  70o - 0035 
  71o - 0024 
  72o - 0029 
  73o - 0021 
  74o - 0023 
  75o - 0025 
  76o - 0016 
  77o - 0028 
  78o - 0026 
  79o - 0027 
  80o - 0022 
  81o - 0010 
  82o - 0017 
  83o - 0011 
  84o - 0019 
  85o - 0014 
  86o - 0020 
  87o - 0018 
  88o - 0005 
  89o - 0012 
  90o - 0002 
  91o - 0013 
  92o - 0000 
  93o - 0007 
  94o - 0008 
  95o - 0006 
  96o - 0001 
  97o - 0015 
  98o - 0003 
  99o - 0004 
 100o - 0009 


Ranking - Rodada 2:
   1o - 0096 
   2o - 0098 
   3o - 0097 
   4o - 0099 
   5o - 0095 
   6o - 0092 
   7o - 0091 
   8o - 0089 
   9o - 0088 
  10o - 0084 
  11o - 0086 
  12o - 0087 
  13o - 0083 
  14o - 0082 
  15o - 0079 
  16o - 0077 
  17o - 0076 
  18o - 0080 
  19o - 0078 
  20o - 0090 
  21o - 0070 
  22o - 0074 
  23o - 0072 
  24o - 0071 
  25o - 0068 
  26o - 0073 
  27o - 0081 
  28o - 0065 
  29o - 0069 
  30o - 0062 
  31o - 0066 
  32o - 0050 
  33o - 0063 
  34o - 0064 
  35o - 0051 
  36o - 0053 
  37o - 0058 
  38o - 0055 
  39o - 0052 
  40o - 0045 
  41o - 0056 
  42o - 0049 
  43o - 0047 
  44o - 0046 
  45o - 0057 
  46o - 0040 
  47o - 0048 
