EP2 - Ciclistas!

Ranking - Rodada 1:
  49o - 0076 
  50o - 0084 
  51o - 0071 
  52o - 0065 
  53o - 0068 
  54o - 0067 
  55o - 0073 
  56o - 0066 
  57o - 0069 
  58o - 0062 
  59o - 0064 
  60o - 0057 
  61o - 0058 
  62o - 0061 
  63o - 0041 
  64o - 0039 
  65o - 0052 
  66o - 0049 
  67o - 0050 
  68o - 0046 
  69o - 0042 
  70o - 0045 
  71o - 0032 
  72o - 0044 
  73o - 0035 
  74o - 0029 
  75o - 0021 
  76o - 0017 
  77o - 0020 
  78o - 0023 
  79o - 0005 
  80o - 0007 
  81o - 0002 
  82o - 0012 
  83o - 0014 
  84o - 0015 
  85o - 0010 
  86o - 0000 
  87o - 0004 
  88o - 0097 
  89o - 0092 
  90o - 0081 
  91o - 0075 
  92o - 0072 
  93o - 0056 
  94o - 0040 
  95o - 0055 
  96o - 0026 
  97o - 0024 
  98o - 0033 
  99o - 0016 

Ops! O ciclista    1 quebrou na rodada 6! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 5:
   1o - 0098 
   2o - 0080 
   3o - 0077 
   4o - 0070 
   5o - 0074 
   6o - 0060 
   7o - 0063 
   8o - 0054 
   9o - 0051 
  10o - 0043 
  11o - 0038 
  12o - 0047 
  13o - 0034 
  14o - 0031 
  15o - 0022 
  16o - 0028 
  17o - 0008 
  18o - 0009 
  19o - 0006 
  20o - 0003 
  21o - 0096 
  22o - 0095 
  23o - 0091 
  24o - 0090 
  25o - 0094 
  26o - 0087 
  27o - 0089 
  28o - 0086 
  29o - 0085 
  30o - 0088 
  31o - 0083 
  32o - 0076 
  33o - 0079 
  34o - 0067 
  35o - 0071 
  36o - 0068 
  37o - 0065 
  38o - 0066 
  39o - 0069 
  40o - 0059 
  41o - 0057 
  42o - 0064 
  43o - 0053 
  44o - 0061 
  45o - 0041 
  46o - 0048 
  47o - 0039 
  48o - 0049 
  49o - 0050 
  50o - 0045 
  51o - 0032 
  52o - 0037 
  53o - 0036 
  54o - 0029 
  55o - 0030 
  56o - 0027 
  57o - 0017 
  58o - 0023 
  59o - 0011 
  60o - 0013 
  61o - 0019 
  62o - 0018 
  63o - 0005 
  64o - 0012 
  65o - 0007 
  66o - 0002 
  67o - 0001 
  68o - 0014 
  69o - 0010 
  70o - 0015 
  71o - 0097 
  72o - 0099 
  73o - 0093 
  74o - 0082 
  75o - 0078 
  76o - 0084 
  77o - 0073 
  78o - 0062 
  79o - 0056 
  80o - 0058 
  81o - 0052 
  82o - 0046 
  83o - 0042 
  84o - 0035 
  85o - 0044 
  86o - 0026 
  87o - 0024 
  88o - 0021 
  89o - 0020 
  90o - 0033 
  91o - 0000 
  92o - 0004 
  93o - 0092 
  94o - 0075 
  95o - 0081 
  96o - 0072 
  97o - 0040 
  98o - 0055 


Ranking - Rodada 6:
   1o - 0098 
   2o - 0080 
   3o - 0077 
   4o - 0074 
   5o - 0060 
   6o - 0063 
   7o - 0054 
   8o - 0043 
   9o - 0047 
  10o - 0038 
  11o - 0034 
  12o - 0031 
  13o - 0028 
  14o - 0022 
  15o - 0009 
  16o - 0006 
  17o - 0003 
  18o - 0096 
  19o - 0095 
  20o - 0090 
  21o - 0094 
  22o - 0091 
  23o - 0089 
  24o - 0085 
  25o - 0087 
  26o - 0083 
  27o - 0079 
  28o - 0070 
  29o - 0071 
  30o - 0068 
  31o - 0065 
  32o - 0066 
  33o - 0069 
  34o - 0059 
  35o - 0057 
  36o - 0053 
  37o - 0048 
  38o - 0051 
  39o - 0039 
  40o - 0050 
  41o - 0037 
  42o - 0036 
  43o - 0030 
  44o - 0027 
  45o - 0017 
  46o - 0008 
  47o - 0013 
  48o - 0019 
  49o - 0018 
  50o - 0005 
  51o - 0007 
  52o - 0002 
  53o - 0015 
  54o - 0010 
  55o - 0099 
  56o - 0093 
  57o - 0086 
  58o - 0088 
  59o - 0076 
  60o - 0082 
  61o - 0084 
  62o - 0067 
  63o - 0073 
  64o - 0056 
  65o - 0064 
  66o - 0041 
  67o - 0058 
  68o - 0052 
  69o - 0061 
  70o - 0046 
  71o - 0045 
  72o - 0044 
  73o - 0035 
  74o - 0029 
  75o - 0049 
  76o - 0026 
  77o - 0024 
  78o - 0020 
  79o - 0023 
  80o - 0033 
  81o - 0011 
  82o - 0032 
  83o - 0012 
  84o - 0014 
  85o - 0000 
  86o - 0004 
  87o - 0097 
  88o - 0092 
  89o - 0075 
  90o - 0081 
  91o - 0078 
  92o - 0062 
  93o - 0040 
  94o - 0055 
  95o - 0042 
  96o - 0021 
  97o - 0072 


Ranking - Rodada 7:
   1o - 0098 
   2o - 0080 
   3o - 0077 
   4o - 0060 
   5o - 0063 
   6o - 0043 
   7o - 0047 
   8o - 0038 
   9o - 0034 
  10o - 0031 
  11o - 0028 
  12o - 0009 
  13o - 0006 
  14o - 0095 
  15o - 0096 
  16o - 0089 
  17o - 0085 
  18o - 0087 
  19o - 0083 
  20o - 0079 
  21o - 0068 
  22o - 0074 
  23o - 0059 
  24o - 0053 
  25o - 0054 
  26o - 0051 
  27o - 0037 
  28o - 0030 
  29o - 0027 
  30o - 0022 
  31o - 0017 
  32o - 0019 
  33o - 0018 
  34o - 0005 
  35o - 0007 
  36o - 0002 
  37o - 0003 
  38o - 0099 
  39o - 0091 
  40o - 0093 
  41o - 0090 
  42o - 0094 
  43o - 0086 
  44o - 0088 
  45o - 0082 
  46o - 0076 
  47o - 0070 
  48o - 0073 
  49o - 0071 
  50o - 0065 
  51o - 0066 
  52o - 0069 
  53o - 0056 
  54o - 0057 
  55o - 0064 
  56o - 0041 
  57o - 0048 
  58o - 0039 
  59o - 0050 
  60o - 0061 
  61o - 0045 
  62o - 0036 
  63o - 0049 
  64o - 0029 
  65o - 0026 
  66o - 0020 
  67o - 0023 
  68o - 0008 
  69o - 0013 
  70o - 0011 
  71o - 0032 
  72o - 0014 
  73o - 0012 
  74o - 0015 
  75o - 0010 
  76o - 0000 
  77o - 0004 
  78o - 0097 
  79o - 0092 
  80o - 0075 
  81o - 0084 
  82o - 0081 
  83o - 0067 
  84o - 0062 
  85o - 0040 
  86o - 0058 
  87o - 0052 
  88o - 0046 
  89o - 0042 
  90o - 0035 
  91o - 0044 
  92o - 0024 
  93o - 0021 
  94o - 0033 
  95o - 0078 
  96o - 0055 

Ops! O ciclista   60 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 8:
   1o - 0098 
   2o - 0080 
   3o - 0060 
   4o - 0063 
   5o - 0043 
   6o - 0047 
   7o - 0034 
   8o - 0031 
   9o - 0028 
  10o - 0009 
  11o - 0006 
  12o - 0095 
  13o - 0089 
  14o - 0083 
  15o - 0077 
  16o - 0079 
  17o - 0074 
  18o - 0053 
  19o - 0054 
  20o - 0038 
  21o - 0037 
  22o - 0027 
  23o - 0030 
  24o - 0005 
  25o - 0002 
  26o - 0003 
  27o - 0099 
  28o - 0096 
  29o - 0094 
  30o - 0093 
  31o - 0091 
  32o - 0087 
  33o - 0085 
  34o - 0076 
  35o - 0070 
  36o - 0068 
  37o - 0071 
  38o - 0066 
  39o - 0069 
  40o - 0056 
  41o - 0059 
  42o - 0064 
  43o - 0057 
  44o - 0041 
  45o - 0051 
  46o - 0048 
  47o - 0039 
  48o - 0061 
  49o - 0045 
  50o - 0036 
  51o - 0029 
  52o - 0049 
  53o - 0026 
  54o - 0022 
  55o - 0017 
  56o - 0008 
  57o - 0013 
  58o - 0019 
  59o - 0011 
  60o - 0018 
  61o - 0007 
  62o - 0012 
  63o - 0015 
