EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0096 
   2o - 0070 
   3o - 0099 
   4o - 0094 
   5o - 0092 
   6o - 0091 
   7o - 0062 
   8o - 0097 
   9o - 0069 
  10o - 0095 
  11o - 0087 
  12o - 0093 
  13o - 0090 
  14o - 0088 
  15o - 0017 
  16o - 0018 
  17o - 0021 
  18o - 0025 
  19o - 0089 
  20o - 0034 
  21o - 0024 
  22o - 0056 
  23o - 0059 
  24o - 0037 
  25o - 0035 
  26o - 0060 
  27o - 0036 
  28o - 0061 
  29o - 0086 
  30o - 0085 
  31o - 0083 
  32o - 0084 
  33o - 0058 
  34o - 0080 
  35o - 0098 
  36o - 0079 
  37o - 0081 
  38o - 0078 
  39o - 0020 
  40o - 0077 
  41o - 0041 
  42o - 0057 
  43o - 0082 
  44o - 0074 
  45o - 0075 
  46o - 0076 
  47o - 0042 
  48o - 0073 
  49o - 0028 
  50o - 0064 
  51o - 0071 
  52o - 0066 
  53o - 0030 
  54o - 0019 
  55o - 0043 
  56o - 0065 
  57o - 0072 
  58o - 0068 
  59o - 0032 
  60o - 0051 
  61o - 0047 
  62o - 0048 
  63o - 0067 
  64o - 0054 
  65o - 0053 
  66o - 0063 
  67o - 0046 
  68o - 0049 
  69o - 0050 
  70o - 0039 
  71o - 0052 
  72o - 0031 
  73o - 0029 
  74o - 0045 
  75o - 0055 
  76o - 0013 
  77o - 0033 
  78o - 0023 
  79o - 0040 
  80o - 0022 
  81o - 0044 
  82o - 0012 
  83o - 0038 
  84o - 0010 
  85o - 0014 
  86o - 0006 
  87o - 0016 
  88o - 0005 
  89o - 0026 
  90o - 0002 
  91o - 0000 
  92o - 0015 
  93o - 0007 
  94o - 0001 
  95o - 0003 
  96o - 0011 
  97o - 0027 
  98o - 0004 
  99o - 0008 
 100o - 0009 


Ranking - Rodada 2:
   1o - 0099 
   2o - 0092 
   3o - 0094 
   4o - 0091 
   5o - 0062 
   6o - 0097 
   7o - 0095 
   8o - 0069 
   9o - 0087 
  10o - 0090 
  11o - 0088 
  12o - 0018 
  13o - 0017 
  14o - 0025 
  15o - 0089 
  16o - 0024 
  17o - 0056 
  18o - 0034 
  19o - 0059 
  20o - 0060 
  21o - 0061 
  22o - 0037 
  23o - 0035 
  24o - 0085 
  25o - 0086 
  26o - 0084 
  27o - 0083 
  28o - 0058 
  29o - 0098 
  30o - 0078 
  31o - 0081 
  32o - 0079 
  33o - 0080 
  34o - 0020 
  35o - 0041 
  36o - 0042 
  37o - 0075 
  38o - 0074 
  39o - 0073 
  40o - 0076 
  41o - 0057 
  42o - 0028 
  43o - 0072 
  44o - 0066 
  45o - 0065 
  46o - 0030 
  47o - 0068 
