EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0099 
   2o - 0095 
   3o - 0097 
   4o - 0098 
   5o - 0096 
   6o - 0094 
   7o - 0092 
   8o - 0089 
   9o - 0085 
  10o - 0093 
  11o - 0087 
  12o - 0088 
  13o - 0086 
  14o - 0082 
  15o - 0084 
  16o - 0090 
  17o - 0081 
  18o - 0083 
  19o - 0091 
  20o - 0075 
  21o - 0076 
  22o - 0073 
  23o - 0072 
  24o - 0078 
  25o - 0070 
  26o - 0071 
  27o - 0080 
  28o - 0077 
  29o - 0074 
  30o - 0067 
  31o - 0079 
  32o - 0065 
  33o - 0063 
  34o - 0062 
  35o - 0068 
  36o - 0066 
  37o - 0061 
  38o - 0069 
  39o - 0056 
  40o - 0060 
  41o - 0064 
  42o - 0057 
  43o - 0058 
  44o - 0059 
  45o - 0053 
  46o - 0052 
  47o - 0054 
  48o - 0051 
  49o - 0050 
  50o - 0043 
  51o - 0055 
  52o - 0046 
  53o - 0047 
  54o - 0048 
  55o - 0040 
  56o - 0044 
  57o - 0042 
  58o - 0045 
  59o - 0041 
  60o - 0038 
  61o - 0035 
  62o - 0037 
  63o - 0049 
  64o - 0028 
  65o - 0039 
  66o - 0033 
  67o - 0032 
  68o - 0034 
  69o - 0036 
  70o - 0026 
  71o - 0029 
  72o - 0025 
  73o - 0027 
  74o - 0024 
  75o - 0020 
  76o - 0023 
  77o - 0022 
  78o - 0031 
  79o - 0030 
  80o - 0016 
  81o - 0019 
  82o - 0018 
  83o - 0021 
  84o - 0011 
  85o - 0009 
  86o - 0017 
  87o - 0015 
  88o - 0014 
  89o - 0008 
  90o - 0006 
  91o - 0007 
  92o - 0013 
  93o - 0001 
  94o - 0004 
  95o - 0010 
  96o - 0002 
  97o - 0000 
  98o - 0005 
  99o - 0012 
 100o - 0003 


Ranking - Rodada 2:
   1o - 0099 
   2o - 0098 
   3o - 0097 
   4o - 0096 
   5o - 0094 
   6o - 0092 
   7o - 0089 
   8o - 0085 
   9o - 0093 
  10o - 0088 
  11o - 0086 
  12o - 0087 
  13o - 0082 
  14o - 0084 
  15o - 0083 
  16o - 0081 
  17o - 0091 
  18o - 0090 
  19o - 0076 
  20o - 0073 
  21o - 0072 
  22o - 0071 
  23o - 0078 
  24o - 0080 
  25o - 0077 
  26o - 0070 
  27o - 0074 
  28o - 0067 
  29o - 0065 
  30o - 0063 
  31o - 0069 
  32o - 0062 
  33o - 0068 
  34o - 0066 
  35o - 0061 
  36o - 0064 
  37o - 0060 
  38o - 0057 
  39o - 0059 
  40o - 0058 
  41o - 0051 
  42o - 0053 
  43o - 0054 
  44o - 0052 
  45o - 0050 
  46o - 0043 
  47o - 0046 
