EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0053 
   2o - 0062 
   3o - 0056 
   4o - 0048 
   5o - 0051 
   6o - 0066 
   7o - 0091 
   8o - 0092 
   9o - 0082 
  10o - 0068 
  11o - 0036 
  12o - 0033 
  13o - 0037 
  14o - 0035 
  15o - 0031 
  16o - 0072 
  17o - 0032 
  18o - 0098 
  19o - 0075 
  20o - 0096 
  21o - 0073 
  22o - 0076 
  23o - 0097 
  24o - 0099 
  25o - 0095 
  26o - 0077 
  27o - 0094 
  28o - 0078 
  29o - 0074 
  30o - 0080 
  31o - 0081 
  32o - 0089 
  33o - 0093 
  34o - 0063 
  35o - 0088 
  36o - 0064 
  37o - 0055 
  38o - 0067 
  39o - 0049 
  40o - 0057 
  41o - 0052 
  42o - 0079 
  43o - 0050 
  44o - 0043 
  45o - 0046 
  46o - 0042 
  47o - 0054 
  48o - 0044 
  49o - 0086 
  50o - 0047 
  51o - 0090 
  52o - 0087 
  53o - 0071 
  54o - 0008 
  55o - 0083 
  56o - 0085 
  57o - 0030 
  58o - 0084 
  59o - 0041 
  60o - 0045 
  61o - 0034 
  62o - 0065 
  63o - 0040 
  64o - 0060 
  65o - 0058 
  66o - 0069 
  67o - 0061 
  68o - 0070 
  69o - 0013 
  70o - 0039 
  71o - 0027 
  72o - 0038 
  73o - 0028 
  74o - 0014 
  75o - 0019 
  76o - 0025 
  77o - 0012 
  78o - 0023 
  79o - 0022 
  80o - 0029 
  81o - 0026 
  82o - 0024 
  83o - 0017 
  84o - 0020 
  85o - 0006 
  86o - 0016 
  87o - 0059 
  88o - 0021 
  89o - 0007 
  90o - 0011 
  91o - 0018 
  92o - 0002 
  93o - 0010 
  94o - 0005 
  95o - 0009 
  96o - 0003 
  97o - 0015 
  98o - 0001 
  99o - 0004 
 100o - 0000 


Ranking - Rodada 2:
   1o - 0048 
   2o - 0056 
   3o - 0062 
   4o - 0051 
   5o - 0091 
   6o - 0066 
   7o - 0082 
   8o - 0092 
   9o - 0036 
  10o - 0033 
  11o - 0068 
  12o - 0098 
  13o - 0032 
  14o - 0072 
  15o - 0031 
  16o - 0099 
  17o - 0097 
  18o - 0096 
  19o - 0073 
  20o - 0094 
  21o - 0078 
  22o - 0081 
  23o - 0080 
  24o - 0064 
  25o - 0067 
  26o - 0055 
  27o - 0052 
  28o - 0057 
  29o - 0042 
  30o - 0054 
  31o - 0050 
  32o - 0044 
  33o - 0047 
  34o - 0087 
  35o - 0071 
  36o - 0083 
  37o - 0008 
  38o - 0030 
  39o - 0085 
  40o - 0084 
  41o - 0045 
  42o - 0065 
  43o - 0086 
  44o - 0069 
  45o - 0040 
  46o - 0061 
  47o - 0041 
