EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0098 
   2o - 0095 
   3o - 0099 
   4o - 0096 
   5o - 0097 
   6o - 0090 
   7o - 0093 
   8o - 0091 
   9o - 0092 
  10o - 0094 
  11o - 0086 
  12o - 0085 
  13o - 0088 
  14o - 0087 
  15o - 0089 
  16o - 0083 
  17o - 0081 
  18o - 0084 
  19o - 0078 
  20o - 0079 
  21o - 0076 
  22o - 0075 
  23o - 0082 
  24o - 0080 
  25o - 0077 
  26o - 0074 
  27o - 0072 
  28o - 0071 
  29o - 0073 
  30o - 0065 
  31o - 0069 
  32o - 0070 
  33o - 0066 
  34o - 0064 
  35o - 0061 
  36o - 0068 
  37o - 0060 
  38o - 0063 
  39o - 0067 
  40o - 0053 
  41o - 0062 
  42o - 0057 
  43o - 0059 
  44o - 0022 
  45o - 0056 
  46o - 0051 
  47o - 0052 
  48o - 0050 
  49o - 0055 
  50o - 0048 
  51o - 0058 
  52o - 0049 
  53o - 0046 
  54o - 0047 
  55o - 0045 
  56o - 0054 
  57o - 0043 
  58o - 0042 
  59o - 0041 
  60o - 0036 
  61o - 0040 
  62o - 0044 
  63o - 0038 
  64o - 0037 
  65o - 0031 
  66o - 0035 
  67o - 0033 
  68o - 0030 
  69o - 0027 
  70o - 0021 
  71o - 0028 
  72o - 0034 
  73o - 0039 
  74o - 0024 
  75o - 0025 
  76o - 0032 
  77o - 0026 
  78o - 0018 
  79o - 0016 
  80o - 0017 
  81o - 0019 
  82o - 0020 
  83o - 0011 
  84o - 0010 
  85o - 0014 
  86o - 0013 
  87o - 0023 
  88o - 0029 
  89o - 0008 
  90o - 0005 
  91o - 0012 
  92o - 0007 
  93o - 0000 
  94o - 0002 
  95o - 0001 
  96o - 0009 
  97o - 0006 
  98o - 0015 
  99o - 0003 
 100o - 0004 


Ranking - Rodada 2:
   1o - 0098 
   2o - 0096 
   3o - 0099 
   4o - 0097 
   5o - 0095 
   6o - 0090 
   7o - 0094 
   8o - 0093 
   9o - 0092 
  10o - 0091 
  11o - 0085 
  12o - 0087 
  13o - 0089 
  14o - 0088 
  15o - 0081 
  16o - 0084 
  17o - 0080 
  18o - 0076 
  19o - 0078 
  20o - 0075 
  21o - 0079 
  22o - 0077 
  23o - 0082 
  24o - 0074 
  25o - 0072 
  26o - 0073 
  27o - 0066 
  28o - 0070 
  29o - 0069 
  30o - 0065 
  31o - 0064 
  32o - 0067 
  33o - 0068 
  34o - 0060 
  35o - 0063 
  36o - 0053 
  37o - 0057 
  38o - 0062 
  39o - 0059 
  40o - 0052 
  41o - 0051 
  42o - 0055 
  43o - 0050 
  44o - 0022 
  45o - 0058 
  46o - 0046 
  47o - 0056 
