EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0089 
   2o - 0098 
   3o - 0099 
   4o - 0086 
   5o - 0093 
   6o - 0091 
   7o - 0094 
   8o - 0096 
   9o - 0095 
  10o - 0097 
  11o - 0088 
  12o - 0085 
  13o - 0092 
  14o - 0090 
  15o - 0082 
  16o - 0031 
  17o - 0084 
  18o - 0030 
  19o - 0081 
  20o - 0087 
  21o - 0083 
  22o - 0068 
  23o - 0050 
  24o - 0077 
  25o - 0027 
  26o - 0080 
  27o - 0078 
  28o - 0038 
  29o - 0022 
  30o - 0055 
  31o - 0075 
  32o - 0023 
  33o - 0056 
  34o - 0043 
  35o - 0025 
  36o - 0054 
  37o - 0040 
  38o - 0039 
  39o - 0042 
  40o - 0069 
  41o - 0062 
  42o - 0070 
  43o - 0041 
  44o - 0076 
  45o - 0049 
  46o - 0063 
  47o - 0021 
  48o - 0016 
  49o - 0064 
  50o - 0052 
  51o - 0067 
  52o - 0033 
  53o - 0024 
  54o - 0079 
  55o - 0017 
  56o - 0048 
  57o - 0072 
  58o - 0047 
  59o - 0074 
  60o - 0014 
  61o - 0071 
  62o - 0012 
  63o - 0015 
  64o - 0013 
  65o - 0061 
  66o - 0073 
  67o - 0065 
  68o - 0037 
  69o - 0053 
  70o - 0066 
  71o - 0051 
  72o - 0060 
  73o - 0059 
  74o - 0035 
  75o - 0058 
  76o - 0029 
  77o - 0057 
  78o - 0044 
  79o - 0026 
  80o - 0036 
  81o - 0032 
  82o - 0008 
  83o - 0006 
  84o - 0046 
  85o - 0009 
  86o - 0045 
  87o - 0028 
  88o - 0020 
  89o - 0034 
  90o - 0002 
  91o - 0010 
  92o - 0007 
  93o - 0018 
  94o - 0001 
  95o - 0011 
  96o - 0000 
  97o - 0005 
  98o - 0003 
  99o - 0019 
 100o - 0004 


Ranking - Rodada 2:
   1o - 0093 
   2o - 0099 
   3o - 0086 
   4o - 0089 
   5o - 0098 
   6o - 0091 
   7o - 0095 
   8o - 0097 
   9o - 0090 
  10o - 0092 
  11o - 0031 
  12o - 0030 
  13o - 0082 
  14o - 0087 
  15o - 0081 
  16o - 0077 
  17o - 0050 
  18o - 0080 
  19o - 0078 
  20o - 0038 
  21o - 0075 
  22o - 0055 
  23o - 0023 
  24o - 0040 
  25o - 0062 
  26o - 0021 
  27o - 0049 
  28o - 0064 
  29o - 0033 
  30o - 0016 
  31o - 0024 
  32o - 0067 
  33o - 0079 
  34o - 0052 
  35o - 0017 
  36o - 0074 
  37o - 0071 
  38o - 0048 
  39o - 0014 
  40o - 0047 
  41o - 0012 
  42o - 0013 
  43o - 0065 
  44o - 0051 
  45o - 0053 
  46o - 0061 
  47o - 0037 
