EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0059 
   2o - 0094 
   3o - 0097 
   4o - 0098 
   5o - 0093 
   6o - 0091 
   7o - 0082 
   8o - 0086 
   9o - 0089 
  10o - 0078 
  11o - 0080 
  12o - 0075 
  13o - 0073 
  14o - 0085 
  15o - 0096 
  16o - 0088 
  17o - 0090 
  18o - 0099 
  19o - 0092 
  20o - 0081 
  21o - 0083 
  22o - 0095 
  23o - 0087 
  24o - 0084 
  25o - 0072 
  26o - 0077 
  27o - 0079 
  28o - 0071 
  29o - 0074 
  30o - 0076 
  31o - 0027 
  32o - 0029 
  33o - 0069 
  34o - 0026 
  35o - 0025 
  36o - 0070 
  37o - 0022 
  38o - 0023 
  39o - 0024 
  40o - 0020 
  41o - 0014 
  42o - 0068 
  43o - 0021 
  44o - 0062 
  45o - 0018 
  46o - 0065 
  47o - 0019 
  48o - 0064 
  49o - 0067 
  50o - 0058 
  51o - 0060 
  52o - 0013 
  53o - 0063 
  54o - 0006 
  55o - 0040 
  56o - 0061 
  57o - 0003 
  58o - 0066 
  59o - 0002 
  60o - 0010 
  61o - 0017 
  62o - 0016 
  63o - 0039 
  64o - 0007 
  65o - 0011 
  66o - 0008 
  67o - 0057 
  68o - 0051 
  69o - 0056 
  70o - 0012 
  71o - 0055 
  72o - 0053 
  73o - 0052 
  74o - 0047 
  75o - 0045 
  76o - 0046 
  77o - 0054 
  78o - 0042 
  79o - 0049 
  80o - 0050 
  81o - 0048 
  82o - 0033 
  83o - 0038 
  84o - 0044 
  85o - 0036 
  86o - 0037 
  87o - 0034 
  88o - 0009 
  89o - 0035 
  90o - 0041 
  91o - 0030 
  92o - 0005 
  93o - 0032 
  94o - 0004 
  95o - 0043 
  96o - 0031 
  97o - 0001 
  98o - 0028 
  99o - 0015 
 100o - 0000 


Ranking - Rodada 2:
   1o - 0098 
   2o - 0094 
   3o - 0093 
   4o - 0097 
   5o - 0086 
   6o - 0091 
   7o - 0089 
   8o - 0082 
   9o - 0080 
  10o - 0078 
  11o - 0085 
  12o - 0092 
  13o - 0099 
  14o - 0088 
  15o - 0090 
  16o - 0096 
  17o - 0087 
  18o - 0081 
  19o - 0083 
  20o - 0095 
  21o - 0084 
  22o - 0077 
  23o - 0071 
  24o - 0074 
  25o - 0079 
  26o - 0069 
  27o - 0076 
  28o - 0027 
  29o - 0029 
  30o - 0023 
  31o - 0022 
  32o - 0020 
  33o - 0024 
  34o - 0021 
  35o - 0062 
  36o - 0014 
  37o - 0018 
  38o - 0065 
  39o - 0064 
  40o - 0058 
  41o - 0060 
  42o - 0067 
  43o - 0013 
  44o - 0003 
  45o - 0061 
  46o - 0006 
  47o - 0066 
