EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0099 
   2o - 0016 
   3o - 0083 
   4o - 0080 
   5o - 0018 
   6o - 0092 
   7o - 0090 
   8o - 0081 
   9o - 0088 
  10o - 0087 
  11o - 0097 
  12o - 0095 
  13o - 0096 
  14o - 0098 
  15o - 0079 
  16o - 0093 
  17o - 0089 
  18o - 0094 
  19o - 0086 
  20o - 0091 
  21o - 0084 
  22o - 0082 
  23o - 0077 
  24o - 0085 
  25o - 0008 
  26o - 0076 
  27o - 0066 
  28o - 0010 
  29o - 0075 
  30o - 0078 
  31o - 0006 
  32o - 0007 
  33o - 0011 
  34o - 0009 
  35o - 0044 
  36o - 0073 
  37o - 0039 
  38o - 0074 
  39o - 0045 
  40o - 0038 
  41o - 0072 
  42o - 0027 
  43o - 0034 
  44o - 0028 
  45o - 0071 
  46o - 0024 
  47o - 0021 
  48o - 0046 
  49o - 0033 
  50o - 0023 
  51o - 0001 
  52o - 0068 
  53o - 0020 
  54o - 0070 
  55o - 0000 
  56o - 0069 
  57o - 0015 
  58o - 0062 
  59o - 0022 
  60o - 0060 
  61o - 0067 
  62o - 0061 
  63o - 0065 
  64o - 0056 
  65o - 0064 
  66o - 0055 
  67o - 0057 
  68o - 0058 
  69o - 0059 
  70o - 0052 
  71o - 0051 
  72o - 0053 
  73o - 0063 
  74o - 0054 
  75o - 0048 
  76o - 0050 
  77o - 0035 
  78o - 0037 
  79o - 0049 
  80o - 0040 
  81o - 0036 
  82o - 0047 
  83o - 0029 
  84o - 0026 
  85o - 0043 
  86o - 0042 
  87o - 0013 
  88o - 0025 
  89o - 0041 
  90o - 0031 
  91o - 0004 
  92o - 0012 
  93o - 0030 
  94o - 0003 
  95o - 0002 
  96o - 0005 
  97o - 0019 
  98o - 0032 
  99o - 0017 
 100o - 0014 


Ranking - Rodada 2:
   1o - 0083 
   2o - 0016 
   3o - 0018 
   4o - 0090 
   5o - 0088 
   6o - 0081 
   7o - 0096 
   8o - 0095 
   9o - 0097 
  10o - 0098 
  11o - 0087 
  12o - 0079 
  13o - 0086 
  14o - 0089 
  15o - 0084 
  16o - 0077 
  17o - 0091 
  18o - 0066 
  19o - 0076 
  20o - 0010 
  21o - 0075 
  22o - 0009 
  23o - 0007 
  24o - 0011 
  25o - 0006 
  26o - 0074 
  27o - 0045 
  28o - 0044 
  29o - 0039 
  30o - 0073 
  31o - 0038 
  32o - 0072 
  33o - 0027 
  34o - 0034 
  35o - 0046 
  36o - 0071 
  37o - 0024 
  38o - 0033 
  39o - 0068 
  40o - 0070 
  41o - 0015 
  42o - 0000 
  43o - 0062 
  44o - 0067 
  45o - 0065 
  46o - 0061 
  47o - 0060 
