EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0086 
   2o - 0098 
   3o - 0095 
   4o - 0099 
   5o - 0087 
   6o - 0094 
   7o - 0096 
   8o - 0097 
   9o - 0088 
  10o - 0090 
  11o - 0089 
  12o - 0085 
  13o - 0093 
  14o - 0091 
  15o - 0081 
  16o - 0084 
  17o - 0083 
  18o - 0078 
  19o - 0082 
  20o - 0076 
  21o - 0092 
  22o - 0080 
  23o - 0077 
  24o - 0075 
  25o - 0073 
  26o - 0074 
  27o - 0079 
  28o - 0070 
  29o - 0072 
  30o - 0071 
  31o - 0065 
  32o - 0068 
  33o - 0066 
  34o - 0067 
  35o - 0061 
  36o - 0056 
  37o - 0059 
  38o - 0063 
  39o - 0060 
  40o - 0062 
  41o - 0069 
  42o - 0055 
  43o - 0051 
  44o - 0057 
  45o - 0048 
  46o - 0053 
  47o - 0058 
  48o - 0064 
  49o - 0050 
  50o - 0046 
  51o - 0054 
  52o - 0045 
  53o - 0049 
  54o - 0043 
  55o - 0052 
  56o - 0037 
  57o - 0036 
  58o - 0042 
  59o - 0047 
  60o - 0039 
  61o - 0038 
  62o - 0044 
  63o - 0041 
  64o - 0026 
  65o - 0033 
  66o - 0025 
  67o - 0032 
  68o - 0027 
  69o - 0028 
  70o - 0031 
  71o - 0030 
  72o - 0040 
  73o - 0035 
  74o - 0022 
  75o - 0034 
  76o - 0023 
  77o - 0020 
  78o - 0016 
  79o - 0029 
  80o - 0018 
  81o - 0024 
  82o - 0011 
  83o - 0010 
  84o - 0019 
  85o - 0017 
  86o - 0013 
  87o - 0021 
  88o - 0015 
  89o - 0014 
  90o - 0001 
  91o - 0007 
  92o - 0003 
  93o - 0006 
  94o - 0004 
  95o - 0000 
  96o - 0008 
  97o - 0012 
  98o - 0002 
  99o - 0009 
 100o - 0005 


Ranking - Rodada 2:
   1o - 0087 
   2o - 0086 
   3o - 0099 
   4o - 0098 
   5o - 0095 
   6o - 0097 
   7o - 0096 
   8o - 0094 
   9o - 0089 
  10o - 0091 
  11o - 0093 
  12o - 0085 
  13o - 0088 
  14o - 0084 
  15o - 0081 
  16o - 0083 
  17o - 0078 
  18o - 0077 
  19o - 0082 
  20o - 0092 
  21o - 0080 
  22o - 0076 
  23o - 0075 
  24o - 0074 
  25o - 0071 
  26o - 0068 
  27o - 0065 
  28o - 0072 
  29o - 0070 
  30o - 0061 
  31o - 0067 
  32o - 0056 
  33o - 0062 
  34o - 0063 
  35o - 0059 
  36o - 0060 
  37o - 0069 
  38o - 0057 
  39o - 0051 
  40o - 0058 
  41o - 0053 
  42o - 0048 
  43o - 0054 
  44o - 0046 
  45o - 0064 
  46o - 0045 
  47o - 0043 
