EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0099 
   2o - 0093 
   3o - 0070 
   4o - 0068 
   5o - 0072 
   6o - 0098 
   7o - 0087 
   8o - 0096 
   9o - 0097 
  10o - 0092 
  11o - 0094 
  12o - 0095 
  13o - 0085 
  14o - 0091 
  15o - 0090 
  16o - 0088 
  17o - 0086 
  18o - 0061 
  19o - 0089 
  20o - 0083 
  21o - 0081 
  22o - 0082 
  23o - 0084 
  24o - 0076 
  25o - 0064 
  26o - 0077 
  27o - 0062 
  28o - 0078 
  29o - 0079 
  30o - 0080 
  31o - 0073 
  32o - 0074 
  33o - 0066 
  34o - 0075 
  35o - 0067 
  36o - 0060 
  37o - 0069 
  38o - 0009 
  39o - 0058 
  40o - 0065 
  41o - 0071 
  42o - 0008 
  43o - 0010 
  44o - 0056 
  45o - 0057 
  46o - 0033 
  47o - 0059 
  48o - 0011 
  49o - 0026 
  50o - 0005 
  51o - 0034 
  52o - 0013 
  53o - 0053 
  54o - 0012 
  55o - 0021 
  56o - 0054 
  57o - 0051 
  58o - 0049 
  59o - 0048 
  60o - 0063 
  61o - 0055 
  62o - 0044 
  63o - 0018 
  64o - 0046 
  65o - 0047 
  66o - 0052 
  67o - 0042 
  68o - 0041 
  69o - 0045 
  70o - 0038 
  71o - 0016 
  72o - 0040 
  73o - 0037 
  74o - 0032 
  75o - 0035 
  76o - 0043 
  77o - 0050 
  78o - 0031 
  79o - 0039 
  80o - 0030 
  81o - 0036 
  82o - 0028 
  83o - 0022 
  84o - 0029 
  85o - 0019 
  86o - 0025 
  87o - 0003 
  88o - 0027 
  89o - 0024 
  90o - 0015 
  91o - 0020 
  92o - 0017 
  93o - 0000 
  94o - 0007 
  95o - 0004 
  96o - 0006 
  97o - 0023 
  98o - 0001 
  99o - 0002 
 100o - 0014 


Ranking - Rodada 2:
   1o - 0072 
   2o - 0068 
   3o - 0099 
   4o - 0093 
   5o - 0097 
   6o - 0087 
   7o - 0096 
   8o - 0098 
   9o - 0092 
  10o - 0095 
  11o - 0094 
  12o - 0089 
  13o - 0086 
  14o - 0083 
  15o - 0085 
  16o - 0090 
  17o - 0088 
  18o - 0091 
  19o - 0081 
  20o - 0076 
  21o - 0062 
  22o - 0084 
  23o - 0077 
  24o - 0074 
  25o - 0073 
  26o - 0066 
  27o - 0069 
  28o - 0075 
  29o - 0067 
  30o - 0060 
  31o - 0009 
  32o - 0071 
  33o - 0058 
  34o - 0057 
  35o - 0008 
  36o - 0056 
  37o - 0033 
  38o - 0010 
  39o - 0034 
  40o - 0011 
  41o - 0005 
  42o - 0026 
  43o - 0053 
  44o - 0013 
  45o - 0021 
  46o - 0012 
  47o - 0048 
