EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0085 
   2o - 0096 
   3o - 0095 
   4o - 0098 
   5o - 0099 
   6o - 0097 
   7o - 0094 
   8o - 0093 
   9o - 0092 
  10o - 0091 
  11o - 0086 
  12o - 0090 
  13o - 0089 
  14o - 0088 
  15o - 0087 
  16o - 0084 
  17o - 0080 
  18o - 0082 
  19o - 0081 
  20o - 0079 
  21o - 0077 
  22o - 0083 
  23o - 0075 
  24o - 0078 
  25o - 0070 
  26o - 0076 
  27o - 0072 
  28o - 0074 
  29o - 0073 
  30o - 0071 
  31o - 0067 
  32o - 0065 
  33o - 0068 
  34o - 0066 
  35o - 0062 
  36o - 0069 
  37o - 0060 
  38o - 0064 
  39o - 0061 
  40o - 0055 
  41o - 0058 
  42o - 0063 
  43o - 0056 
  44o - 0050 
  45o - 0059 
  46o - 0051 
  47o - 0052 
  48o - 0054 
  49o - 0047 
  50o - 0049 
  51o - 0045 
  52o - 0048 
  53o - 0043 
  54o - 0057 
  55o - 0041 
  56o - 0046 
  57o - 0053 
  58o - 0044 
  59o - 0039 
  60o - 0040 
  61o - 0037 
  62o - 0036 
  63o - 0042 
  64o - 0030 
  65o - 0021 
  66o - 0026 
  67o - 0035 
  68o - 0028 
  69o - 0038 
  70o - 0031 
  71o - 0034 
  72o - 0032 
  73o - 0027 
  74o - 0022 
  75o - 0025 
  76o - 0033 
  77o - 0015 
  78o - 0016 
  79o - 0019 
  80o - 0029 
  81o - 0020 
  82o - 0018 
  83o - 0014 
  84o - 0024 
  85o - 0012 
  86o - 0023 
  87o - 0007 
  88o - 0005 
  89o - 0006 
  90o - 0017 
  91o - 0008 
  92o - 0001 
  93o - 0011 
  94o - 0004 
  95o - 0009 
  96o - 0013 
  97o - 0000 
  98o - 0010 
  99o - 0002 
 100o - 0003 


Ranking - Rodada 2:
   1o - 0096 
   2o - 0095 
   3o - 0098 
   4o - 0085 
   5o - 0099 
   6o - 0097 
   7o - 0092 
   8o - 0094 
   9o - 0091 
  10o - 0089 
  11o - 0086 
  12o - 0090 
  13o - 0088 
  14o - 0082 
  15o - 0080 
  16o - 0084 
  17o - 0083 
  18o - 0077 
  19o - 0078 
  20o - 0079 
  21o - 0076 
  22o - 0074 
  23o - 0070 
  24o - 0072 
  25o - 0068 
  26o - 0065 
  27o - 0066 
  28o - 0071 
  29o - 0067 
  30o - 0060 
  31o - 0061 
  32o - 0064 
  33o - 0069 
  34o - 0062 
  35o - 0063 
  36o - 0058 
  37o - 0056 
  38o - 0055 
  39o - 0051 
  40o - 0052 
  41o - 0054 
  42o - 0059 
  43o - 0048 
  44o - 0045 
  45o - 0049 
  46o - 0044 
  47o - 0046 
