EP2 - Ciclistas!

Ranking - Rodada 1:
  27o - 0016 
  28o - 0017 
  29o - 0024 
  30o - 0002 
  31o - 0008 
  32o - 0015 
  33o - 0006 
  34o - 0095 
  35o - 0087 
  36o - 0083 
  37o - 0096 
  38o - 0082 
  39o - 0091 
  40o - 0092 
  41o - 0099 
  42o - 0088 
  43o - 0089 
  44o - 0081 
  45o - 0073 
  46o - 0070 
  47o - 0080 
  48o - 0085 
  49o - 0074 
  50o - 0071 
  51o - 0065 
  52o - 0072 
  53o - 0068 
  54o - 0069 
  55o - 0063 
  56o - 0058 
  57o - 0044 
  58o - 0059 
  59o - 0026 
  60o - 0034 
  61o - 0025 
  62o - 0041 
  63o - 0036 
  64o - 0049 
  65o - 0050 
  66o - 0054 
  67o - 0031 
  68o - 0037 
  69o - 0035 
  70o - 0021 
  71o - 0042 
  72o - 0020 
  73o - 0023 
  74o - 0013 
  75o - 0011 
  76o - 0007 
  77o - 0019 
  78o - 0010 
  79o - 0004 
  80o - 0012 
  81o - 0014 
  82o - 0003 
  83o - 0022 
  84o - 0005 
  85o - 0086 
  86o - 0084 
  87o - 0093 
  88o - 0097 
  89o - 0075 
  90o - 0076 
  91o - 0066 
  92o - 0062 
  93o - 0057 
  94o - 0053 
  95o - 0039 
  96o - 0030 
  97o - 0009 
  98o - 0000 
  99o - 0001 

LISTA DELETADA 2
Ops! O ciclista   84 quebrou na rodada 6! e será eliminado
LISTA DELETADA 2
Ops! O ciclista    9 quebrou na rodada 6! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 5:
   1o - 0098 
   2o - 0090 
   3o - 0078 
   4o - 0077 
   5o - 0067 
   6o - 0027 
   7o - 0040 
   8o - 0061 
   9o - 0052 
  10o - 0048 
  11o - 0051 
  12o - 0043 
  13o - 0047 
  14o - 0038 
  15o - 0032 
  16o - 0029 
  17o - 0016 
  18o - 0033 
  19o - 0008 
  20o - 0015 
  21o - 0006 
  22o - 0082 
  23o - 0087 
  24o - 0095 
  25o - 0096 
  26o - 0083 
  27o - 0099 
  28o - 0089 
  29o - 0094 
  30o - 0073 
  31o - 0088 
  32o - 0070 
  33o - 0080 
  34o - 0079 
  35o - 0065 
  36o - 0074 
  37o - 0071 
  38o - 0072 
  39o - 0060 
  40o - 0068 
  41o - 0064 
  42o - 0058 
  43o - 0063 
  44o - 0059 
  45o - 0026 
  46o - 0044 
  47o - 0028 
  48o - 0036 
  49o - 0041 
  50o - 0045 
  51o - 0055 
  52o - 0046 
  53o - 0049 
  54o - 0056 
  55o - 0054 
  56o - 0050 
  57o - 0037 
  58o - 0031 
  59o - 0021 
  60o - 0024 
  61o - 0017 
  62o - 0020 
  63o - 0023 
  64o - 0013 
  65o - 0011 
  66o - 0019 
  67o - 0010 
  68o - 0007 
  69o - 0002 
  70o - 0003 
  71o - 0022 
  72o - 0014 
  73o - 0005 
  74o - 0084 
  75o - 0092 
  76o - 0091 
  77o - 0081 
  78o - 0097 
  79o - 0085 
  80o - 0075 
  81o - 0069 
  82o - 0062 
  83o - 0057 
  84o - 0034 
  85o - 0025 
  86o - 0035 
  87o - 0030 
  88o - 0039 
  89o - 0042 
  90o - 0009 
  91o - 0012 
  92o - 0004 
  93o - 0000 
  94o - 0086 
  95o - 0093 
  96o - 0076 
  97o - 0066 
  98o - 0053 


Ranking - Rodada 6:
   1o - 0098 
   2o - 0090 
   3o - 0077 
   4o - 0061 
   5o - 0051 
   6o - 0048 
   7o - 0047 
   8o - 0032 
   9o - 0015 
  10o - 0082 
  11o - 0083 
  12o - 0096 
  13o - 0095 
  14o - 0089 
  15o - 0094 
  16o - 0073 
  17o - 0080 
  18o - 0078 
  19o - 0079 
  20o - 0071 
  21o - 0074 
  22o - 0067 
  23o - 0068 
  24o - 0058 
  25o - 0044 
  26o - 0028 
  27o - 0040 
  28o - 0045 
  29o - 0055 
  30o - 0046 
  31o - 0052 
  32o - 0043 
  33o - 0054 
  34o - 0050 
  35o - 0029 
  36o - 0038 
  37o - 0017 
  38o - 0021 
  39o - 0016 
  40o - 0033 
  41o - 0020 
  42o - 0010 
  43o - 0008 
  44o - 0002 
  45o - 0014 
  46o - 0006 
  47o - 0087 
  48o - 0092 
  49o - 0091 
  50o - 0099 
  51o - 0081 
  52o - 0070 
  53o - 0097 
  54o - 0085 
  55o - 0065 
  56o - 0072 
  57o - 0069 
  58o - 0060 
  59o - 0063 
  60o - 0034 
  61o - 0059 
  62o - 0026 
  63o - 0025 
  64o - 0041 
  65o - 0036 
  66o - 0049 
  67o - 0039 
  68o - 0030 
  69o - 0035 
  70o - 0037 
  71o - 0031 
  72o - 0042 
  73o - 0023 
  74o - 0024 
  75o - 0013 
  76o - 0011 
  77o - 0019 
  78o - 0007 
  79o - 0004 
  80o - 0000 
  81o - 0022 
  82o - 0005 
  83o - 0086 
  84o - 0093 
  85o - 0075 
  86o - 0076 
  87o - 0066 
  88o - 0062 
  89o - 0057 
  90o - 0053 
  91o - 0012 


Ranking - Rodada 7:
   1o - 0090 
   2o - 0077 
   3o - 0051 
   4o - 0048 
   5o - 0032 
   6o - 0015 
   7o - 0095 
   8o - 0082 
   9o - 0098 
  10o - 0089 
  11o - 0094 
  12o - 0078 
  13o - 0067 
  14o - 0044 
  15o - 0040 
  16o - 0061 
  17o - 0052 
  18o - 0046 
  19o - 0047 
  20o - 0038 
  21o - 0017 
  22o - 0033 
  23o - 0020 
  24o - 0010 
  25o - 0002 
  26o - 0014 
  27o - 0006 
  28o - 0087 
  29o - 0096 
  30o - 0083 
  31o - 0091 
  32o - 0092 
  33o - 0099 
  34o - 0081 
  35o - 0073 
  36o - 0080 
  37o - 0079 
  38o - 0085 
  39o - 0071 
  40o - 0074 
  41o - 0065 
  42o - 0072 
  43o - 0069 
  44o - 0060 
  45o - 0068 
  46o - 0063 
  47o - 0026 
  48o - 0059 
  49o - 0058 
  50o - 0041 
  51o - 0036 
  52o - 0028 
  53o - 0045 
  54o - 0055 
  55o - 0043 
  56o - 0049 
  57o - 0054 
  58o - 0050 
  59o - 0031 
  60o - 0029 
  61o - 0021 
  62o - 0042 
  63o - 0016 
  64o - 0023 
  65o - 0013 
  66o - 0024 
  67o - 0019 
  68o - 0007 
  69o - 0011 
  70o - 0004 
  71o - 0000 
  72o - 0008 
  73o - 0022 
  74o - 0086 
  75o - 0093 
  76o - 0097 
  77o - 0070 
  78o - 0075 
  79o - 0076 
  80o - 0066 
  81o - 0062 
  82o - 0057 
  83o - 0034 
  84o - 0025 
  85o - 0053 
  86o - 0030 
  87o - 0035 
  88o - 0039 
  89o - 0037 
  90o - 0005 


Ranking - Rodada 8:
   1o - 0090 
   2o - 0051 
   3o - 0048 
   4o - 0032 
   5o - 0015 
   6o - 0095 
   7o - 0098 
   8o - 0089 
   9o - 0094 
  10o - 0078 
  11o - 0077 
  12o - 0067 
  13o - 0044 
  14o - 0040 
  15o - 0061 
  16o - 0046 
  17o - 0052 
  18o - 0047 
  19o - 0038 
  20o - 0033 
  21o - 0020 
  22o - 0014 
  23o - 0006 
  24o - 0083 
  25o - 0096 
  26o - 0082 
  27o - 0081 
  28o - 0080 
  29o - 0085 
  30o - 0079 
  31o - 0074 
  32o - 0071 
  33o - 0065 
  34o - 0069 
  35o - 0072 
  36o - 0063 
  37o - 0058 
  38o - 0028 
  39o - 0045 
  40o - 0054 
  41o - 0050 
  42o - 0031 
  43o - 0021 
  44o - 0017 
  45o - 0023 
  46o - 0013 
  47o - 0024 
  48o - 0010 
  49o - 0011 
  50o - 0019 
  51o - 0002 
  52o - 0000 
  53o - 0008 
  54o - 0022 
  55o - 0087 
  56o - 0086 
  57o - 0091 
  58o - 0092 
  59o - 0093 
  60o - 0099 
  61o - 0073 
  62o - 0070 
  63o - 0097 
  64o - 0076 
  65o - 0075 
  66o - 0060 
  67o - 0066 
  68o - 0062 
  69o - 0068 
  70o - 0057 
  71o - 0026 
  72o - 0059 
  73o - 0034 
  74o - 0041 
  75o - 0036 
  76o - 0053 
  77o - 0055 
  78o - 0043 
  79o - 0049 
  80o - 0030 
  81o - 0039 
  82o - 0037 
  83o - 0035 
  84o - 0029 
  85o - 0016 
  86o - 0042 
  87o - 0007 
  88o - 0004 
  89o - 0005 
  90o - 0025 

Ops! O ciclista   67 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 9:
   1o - 0090 
   2o - 0051 
   3o - 0048 
   4o - 0032 
   5o - 0015 
   6o - 0098 
   7o - 0094 
   8o - 0078 
   9o - 0067 
  10o - 0077 
  11o - 0061 
  12o - 0052 
  13o - 0046 
  14o - 0047 
  15o - 0033 
  16o - 0020 
  17o - 0014 
  18o - 0006 
  19o - 0095 
  20o - 0096 
  21o - 0083 
  22o - 0089 
  23o - 0081 
  24o - 0080 
  25o - 0079 
  26o - 0085 
  27o - 0071 
  28o - 0072 
  29o - 0044 
  30o - 0040 
  31o - 0031 
  32o - 0038 
  33o - 0017 
  34o - 0023 
  35o - 0024 
  36o - 0010 
  37o - 0011 
  38o - 0019 
  39o - 0002 
  40o - 0000 
  41o - 0082 
  42o - 0087 
  43o - 0091 
  44o - 0092 
  45o - 0099 
  46o - 0073 
  47o - 0075 
  48o - 0076 
  49o - 0074 
  50o - 0065 
  51o - 0069 
  52o - 0060 
  53o - 0068 
  54o - 0057 
  55o - 0063 
  56o - 0058 
  57o - 0059 
  58o - 0041 
  59o - 0045 
  60o - 0028 
  61o - 0053 
  62o - 0055 
  63o - 0043 
  64o - 0049 
  65o - 0054 
  66o - 0037 
  67o - 0030 
  68o - 0039 
  69o - 0050 
  70o - 0035 
  71o - 0029 
  72o - 0021 
  73o - 0042 
  74o - 0016 
  75o - 0013 
  76o - 0007 
  77o - 0004 
  78o - 0022 
  79o - 0008 
  80o - 0086 
  81o - 0093 
  82o - 0097 
  83o - 0070 
  84o - 0066 
  85o - 0062 
  86o - 0034 
  87o - 0026 
  88o - 0036 
  89o - 0005 

Ops! O ciclista   89 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2
Ops! O ciclista   40 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2
Ops! O ciclista   62 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2
Ops! O ciclista   63 quebrou na rodada 12! e será eliminado

Ranking - Rodada 10:
   1o - 0090 
   2o - 0051 
   3o - 0015 
   4o - 0078 
   5o - 0077 
   6o - 0061 
   7o - 0048 
   8o - 0032 
   9o - 0020 
  10o - 0014 
  11o - 0006 
  12o - 0096 
  13o - 0095 
  14o - 0098 
  15o - 0089 
  16o - 0094 
  17o - 0081 
  18o - 0079 
  19o - 0067 
  20o - 0072 
  21o - 0044 
  22o - 0040 
  23o - 0052 
  24o - 0046 
  25o - 0047 
  26o - 0038 
  27o - 0033 
  28o - 0023 
  29o - 0024 
  30o - 0011 
  31o - 0000 
  32o - 0082 
  33o - 0083 
  34o - 0092 
  35o - 0091 
  36o - 0073 
  37o - 0080 
  38o - 0085 
  39o - 0075 
  40o - 0071 
  41o - 0074 
  42o - 0065 
  43o - 0069 
  44o - 0060 
  45o - 0057 
  46o - 0063 
  47o - 0058 
  48o - 0059 
  49o - 0045 
  50o - 0028 
  51o - 0053 
  52o - 0043 
  53o - 0049 
  54o - 0054 
  55o - 0050 
  56o - 0039 
  57o - 0037 
  58o - 0031 
  59o - 0021 
  60o - 0016 
  61o - 0017 
  62o - 0013 
  63o - 0007 
  64o - 0019 
  65o - 0004 
  66o - 0002 
  67o - 0010 
  68o - 0008 
  69o - 0087 
  70o - 0086 
  71o - 0099 
  72o - 0093 
  73o - 0097 
  74o - 0070 
  75o - 0076 
  76o - 0066 
  77o - 0062 
  78o - 0068 
  79o - 0026 
  80o - 0041 
  81o - 0036 
  82o - 0055 
  83o - 0035 
  84o - 0030 
  85o - 0029 
  86o - 0042 
  87o - 0022 
  88o - 0005 
  89o - 0034 

LISTA DELETADA 2
Ops! O ciclista   55 quebrou na rodada 12! e será eliminado
LISTA DELETADA 2

Ranking - Rodada 11:
   1o - 0090 
   2o - 0051 
   3o - 0078 
   4o - 0077 
   5o - 0061 
   6o - 0048 
   7o - 0032 
   8o - 0015 
   9o - 0006 
  10o - 0096 
  11o - 0095 
  12o - 0098 
  13o - 0094 
  14o - 0081 
  15o - 0067 
  16o - 0072 
  17o - 0046 
  18o - 0024 
  19o - 0020 
  20o - 0011 
  21o - 0000 
  22o - 0014 
  23o - 0082 
  24o - 0092 
  25o - 0089 
  26o - 0080 
  27o - 0079 
  28o - 0074 
  29o - 0065 
  30o - 0069 
  31o - 0057 
  32o - 0059 
  33o - 0044 
  34o - 0053 
  35o - 0028 
  36o - 0040 
  37o - 0052 
  38o - 0043 
  39o - 0049 
  40o - 0054 
  41o - 0050 
  42o - 0047 
  43o - 0031 
  44o - 0039 
  45o - 0021 
  46o - 0016 
  47o - 0038 
  48o - 0033 
  49o - 0013 
  50o - 0017 
  51o - 0023 
  52o - 0002 
  53o - 0010 
  54o - 0087 
  55o - 0083 
  56o - 0091 
  57o - 0093 
  58o - 0099 
  59o - 0073 
  60o - 0097 
  61o - 0070 
  62o - 0075 
  63o - 0076 
  64o - 0085 
  65o - 0071 
  66o - 0062 
  67o - 0060 
  68o - 0063 
  69o - 0058 
  70o - 0041 
  71o - 0045 
  72o - 0055 
  73o - 0035 
  74o - 0030 
  75o - 0037 
  76o - 0042 
  77o - 0007 
  78o - 0019 
  79o - 0022 
  80o - 0004 
  81o - 0005 
  82o - 0008 
  83o - 0086 
  84o - 0066 
  85o - 0068 
  86o - 0026 
  87o - 0036 
  88o - 0029 


Ranking - Rodada 12:
   1o - 0090 
   2o - 0051 
   3o - 0061 
   4o - 0048 
   5o - 0032 
   6o - 0015 
   7o - 0096 
   8o - 0094 
   9o - 0081 
  10o - 0078 
  11o - 0077 
  12o - 0046 
  13o - 0024 
  14o - 0011 
  15o - 0000 
  16o - 0014 
  17o - 0006 
  18o - 0082 
  19o - 0095 
  20o - 0098 
  21o - 0092 
  22o - 0080 
  23o - 0079 
  24o - 0074 
  25o - 0072 
  26o - 0059 
  27o - 0044 
  28o - 0053 
  29o - 0028 
  30o - 0052 
  31o - 0043 
  32o - 0049 
  33o - 0054 
  34o - 0050 
  35o - 0047 
  36o - 0031 
  37o - 0038 
  38o - 0033 
  39o - 0017 
  40o - 0020 
  41o - 0023 
  42o - 0002 
  43o - 0010 
  44o - 0083 
  45o - 0091 
  46o - 0099 
  47o - 0093 
  48o - 0097 
  49o - 0073 
  50o - 0070 
  51o - 0075 
  52o - 0085 
  53o - 0071 
  54o - 0065 
  55o - 0069 
  56o - 0060 
  57o - 0057 
  58o - 0058 
  59o - 0041 
  60o - 0045 
  61o - 0037 
  62o - 0030 
  63o - 0035 
  64o - 0039 
  65o - 0016 
  66o - 0021 
  67o - 0013 
  68o - 0007 
  69o - 0022 
