EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0095 
   2o - 0058 
   3o - 0080 
   4o - 0075 
   5o - 0096 
   6o - 0074 
   7o - 0064 
   8o - 0062 
   9o - 0063 
  10o - 0067 
  11o - 0078 
  12o - 0065 
  13o - 0068 
  14o - 0072 
  15o - 0073 
  16o - 0066 
  17o - 0098 
  18o - 0099 
  19o - 0093 
  20o - 0097 
  21o - 0069 
  22o - 0094 
  23o - 0092 
  24o - 0086 
  25o - 0071 
  26o - 0089 
  27o - 0090 
  28o - 0091 
  29o - 0084 
  30o - 0088 
  31o - 0087 
  32o - 0081 
  33o - 0083 
  34o - 0070 
  35o - 0079 
  36o - 0077 
  37o - 0076 
  38o - 0048 
  39o - 0061 
  40o - 0085 
  41o - 0060 
  42o - 0082 
  43o - 0057 
  44o - 0056 
  45o - 0030 
  46o - 0031 
  47o - 0055 
  48o - 0029 
  49o - 0049 
  50o - 0054 
  51o - 0047 
  52o - 0034 
  53o - 0059 
  54o - 0044 
  55o - 0050 
  56o - 0038 
  57o - 0052 
  58o - 0051 
  59o - 0053 
  60o - 0035 
  61o - 0039 
  62o - 0041 
  63o - 0036 
  64o - 0046 
  65o - 0045 
  66o - 0024 
  67o - 0037 
  68o - 0042 
  69o - 0033 
  70o - 0040 
  71o - 0015 
  72o - 0032 
  73o - 0027 
  74o - 0025 
  75o - 0043 
  76o - 0022 
  77o - 0018 
  78o - 0023 
  79o - 0020 
  80o - 0021 
  81o - 0014 
  82o - 0017 
  83o - 0019 
  84o - 0012 
  85o - 0016 
  86o - 0009 
  87o - 0001 
  88o - 0028 
  89o - 0026 
  90o - 0007 
  91o - 0006 
  92o - 0008 
  93o - 0011 
  94o - 0003 
  95o - 0010 
  96o - 0002 
  97o - 0005 
  98o - 0013 
  99o - 0000 
 100o - 0004 


Ranking - Rodada 2:
   1o - 0058 
   2o - 0075 
   3o - 0096 
   4o - 0095 
   5o - 0067 
   6o - 0064 
   7o - 0068 
   8o - 0078 
   9o - 0099 
  10o - 0072 
  11o - 0073 
  12o - 0093 
  13o - 0097 
  14o - 0071 
  15o - 0086 
  16o - 0091 
  17o - 0090 
  18o - 0089 
  19o - 0087 
  20o - 0084 
  21o - 0077 
  22o - 0083 
  23o - 0076 
  24o - 0070 
  25o - 0081 
  26o - 0061 
  27o - 0085 
  28o - 0048 
  29o - 0060 
  30o - 0030 
  31o - 0057 
  32o - 0031 
  33o - 0029 
  34o - 0054 
  35o - 0059 
  36o - 0050 
  37o - 0052 
  38o - 0038 
  39o - 0036 
  40o - 0046 
  41o - 0041 
  42o - 0045 
  43o - 0024 
  44o - 0040 
  45o - 0025 
  46o - 0015 
  47o - 0027 
