EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0072 
   2o - 0075 
   3o - 0076 
   4o - 0070 
   5o - 0071 
   6o - 0063 
   7o - 0054 
   8o - 0064 
   9o - 0053 
  10o - 0062 
  11o - 0048 
  12o - 0051 
  13o - 0046 
  14o - 0050 
  15o - 0052 
  16o - 0009 
  17o - 0074 
  18o - 0044 
  19o - 0017 
  20o - 0073 
  21o - 0055 
  22o - 0065 
  23o - 0066 
  24o - 0060 
  25o - 0056 
  26o - 0099 
  27o - 0020 
  28o - 0030 
  29o - 0038 
  30o - 0028 
  31o - 0097 
  32o - 0025 
  33o - 0031 
  34o - 0027 
  35o - 0098 
  36o - 0029 
  37o - 0034 
  38o - 0096 
  39o - 0092 
  40o - 0032 
  41o - 0093 
  42o - 0094 
  43o - 0026 
  44o - 0095 
  45o - 0088 
  46o - 0086 
  47o - 0091 
  48o - 0087 
  49o - 0083 
  50o - 0090 
  51o - 0085 
  52o - 0089 
  53o - 0023 
  54o - 0080 
  55o - 0084 
  56o - 0079 
  57o - 0081 
  58o - 0024 
  59o - 0082 
  60o - 0069 
  61o - 0078 
  62o - 0067 
  63o - 0059 
  64o - 0049 
  65o - 0077 
  66o - 0058 
  67o - 0061 
  68o - 0042 
  69o - 0047 
  70o - 0040 
  71o - 0068 
  72o - 0035 
  73o - 0041 
  74o - 0045 
  75o - 0037 
  76o - 0043 
  77o - 0019 
  78o - 0005 
  79o - 0018 
  80o - 0021 
  81o - 0012 
  82o - 0002 
  83o - 0015 
  84o - 0008 
  85o - 0057 
  86o - 0036 
  87o - 0039 
  88o - 0011 
  89o - 0010 
  90o - 0006 
  91o - 0000 
  92o - 0001 
  93o - 0004 
  94o - 0033 
  95o - 0022 
  96o - 0016 
  97o - 0014 
  98o - 0007 
  99o - 0013 
 100o - 0003 


Ranking - Rodada 2:
   1o - 0075 
   2o - 0072 
   3o - 0064 
   4o - 0054 
   5o - 0063 
   6o - 0062 
   7o - 0053 
   8o - 0052 
   9o - 0048 
  10o - 0050 
  11o - 0046 
  12o - 0017 
  13o - 0044 
  14o - 0009 
  15o - 0074 
  16o - 0065 
  17o - 0055 
  18o - 0066 
  19o - 0099 
  20o - 0030 
  21o - 0020 
  22o - 0025 
  23o - 0031 
  24o - 0038 
  25o - 0027 
  26o - 0028 
  27o - 0034 
  28o - 0096 
  29o - 0029 
  30o - 0098 
  31o - 0094 
  32o - 0032 
  33o - 0026 
  34o - 0092 
  35o - 0093 
  36o - 0088 
  37o - 0086 
  38o - 0087 
  39o - 0095 
  40o - 0085 
  41o - 0023 
  42o - 0083 
  43o - 0090 
  44o - 0079 
  45o - 0080 
  46o - 0081 
  47o - 0061 
