EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0044 
   2o - 0041 
   3o - 0040 
   4o - 0039 
   5o - 0042 
   6o - 0096 
   7o - 0098 
   8o - 0097 
   9o - 0099 
  10o - 0091 
  11o - 0090 
  12o - 0092 
  13o - 0093 
  14o - 0095 
  15o - 0089 
  16o - 0085 
  17o - 0094 
  18o - 0088 
  19o - 0086 
  20o - 0084 
  21o - 0087 
  22o - 0081 
  23o - 0083 
  24o - 0080 
  25o - 0077 
  26o - 0079 
  27o - 0075 
  28o - 0076 
  29o - 0070 
  30o - 0082 
  31o - 0071 
  32o - 0073 
  33o - 0078 
  34o - 0068 
  35o - 0074 
  36o - 0066 
  37o - 0072 
  38o - 0069 
  39o - 0062 
  40o - 0065 
  41o - 0060 
  42o - 0064 
  43o - 0067 
  44o - 0061 
  45o - 0057 
  46o - 0055 
  47o - 0063 
  48o - 0054 
  49o - 0059 
  50o - 0056 
  51o - 0058 
  52o - 0050 
  53o - 0051 
  54o - 0052 
  55o - 0048 
  56o - 0046 
  57o - 0047 
  58o - 0053 
  59o - 0045 
  60o - 0011 
  61o - 0009 
  62o - 0049 
  63o - 0043 
  64o - 0032 
  65o - 0038 
  66o - 0036 
  67o - 0033 
  68o - 0031 
  69o - 0034 
  70o - 0030 
  71o - 0027 
  72o - 0037 
  73o - 0022 
  74o - 0028 
  75o - 0035 
  76o - 0025 
  77o - 0024 
  78o - 0026 
  79o - 0023 
  80o - 0029 
  81o - 0019 
  82o - 0017 
  83o - 0015 
  84o - 0014 
  85o - 0018 
  86o - 0021 
  87o - 0012 
  88o - 0016 
  89o - 0006 
  90o - 0020 
  91o - 0008 
  92o - 0007 
  93o - 0003 
  94o - 0004 
  95o - 0002 
  96o - 0000 
  97o - 0010 
  98o - 0005 
  99o - 0013 
 100o - 0001 


Ranking - Rodada 2:
   1o - 0041 
   2o - 0040 
   3o - 0096 
   4o - 0099 
   5o - 0097 
   6o - 0091 
   7o - 0093 
   8o - 0095 
   9o - 0092 
  10o - 0085 
  11o - 0094 
  12o - 0086 
  13o - 0087 
  14o - 0083 
  15o - 0080 
  16o - 0079 
  17o - 0077 
  18o - 0075 
  19o - 0076 
  20o - 0082 
  21o - 0071 
  22o - 0078 
  23o - 0073 
  24o - 0070 
  25o - 0068 
  26o - 0074 
  27o - 0066 
  28o - 0069 
  29o - 0060 
  30o - 0061 
  31o - 0065 
  32o - 0067 
  33o - 0064 
  34o - 0057 
  35o - 0063 
  36o - 0055 
  37o - 0059 
  38o - 0054 
  39o - 0052 
  40o - 0046 
  41o - 0047 
  42o - 0053 
  43o - 0056 
  44o - 0045 
  45o - 0048 
  46o - 0043 
  47o - 0011 
