EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0070 
   2o - 0075 
   3o - 0002 
   4o - 0076 
   5o - 0067 
   6o - 0099 
   7o - 0059 
   8o - 0097 
   9o - 0098 
  10o - 0052 
  11o - 0096 
  12o - 0057 
  13o - 0047 
  14o - 0038 
  15o - 0046 
  16o - 0025 
  17o - 0023 
  18o - 0034 
  19o - 0036 
  20o - 0089 
  21o - 0093 
  22o - 0033 
  23o - 0087 
  24o - 0092 
  25o - 0074 
  26o - 0039 
  27o - 0073 
  28o - 0084 
  29o - 0079 
  30o - 0032 
  31o - 0061 
  32o - 0041 
  33o - 0062 
  34o - 0037 
  35o - 0030 
  36o - 0035 
  37o - 0040 
  38o - 0072 
  39o - 0071 
  40o - 0083 
  41o - 0082 
  42o - 0051 
  43o - 0048 
  44o - 0031 
  45o - 0060 
  46o - 0063 
  47o - 0081 
  48o - 0058 
  49o - 0053 
  50o - 0010 
  51o - 0064 
  52o - 0050 
  53o - 0049 
  54o - 0011 
  55o - 0090 
  56o - 0014 
  57o - 0091 
  58o - 0095 
  59o - 0077 
  60o - 0080 
  61o - 0085 
  62o - 0078 
  63o - 0088 
  64o - 0094 
  65o - 0086 
  66o - 0066 
  67o - 0069 
  68o - 0065 
  69o - 0044 
  70o - 0045 
  71o - 0055 
  72o - 0015 
  73o - 0068 
  74o - 0028 
  75o - 0029 
  76o - 0056 
  77o - 0054 
  78o - 0020 
  79o - 0017 
  80o - 0026 
  81o - 0043 
  82o - 0016 
  83o - 0024 
  84o - 0021 
  85o - 0012 
  86o - 0022 
  87o - 0007 
  88o - 0042 
  89o - 0013 
  90o - 0001 
  91o - 0027 
  92o - 0004 
  93o - 0008 
  94o - 0018 
  95o - 0019 
  96o - 0003 
  97o - 0005 
  98o - 0006 
  99o - 0009 
 100o - 0000 


Ranking - Rodada 2:
   1o - 0076 
   2o - 0002 
   3o - 0067 
   4o - 0075 
   5o - 0070 
   6o - 0059 
   7o - 0099 
   8o - 0097 
   9o - 0098 
  10o - 0057 
  11o - 0046 
  12o - 0038 
  13o - 0036 
  14o - 0023 
  15o - 0034 
  16o - 0033 
  17o - 0093 
  18o - 0089 
  19o - 0074 
  20o - 0092 
  21o - 0084 
  22o - 0073 
  23o - 0079 
  24o - 0041 
  25o - 0061 
  26o - 0032 
  27o - 0071 
  28o - 0035 
  29o - 0040 
  30o - 0030 
  31o - 0048 
  32o - 0083 
  33o - 0031 
  34o - 0051 
  35o - 0063 
  36o - 0058 
  37o - 0081 
  38o - 0053 
  39o - 0010 
  40o - 0049 
  41o - 0050 
  42o - 0091 
  43o - 0095 
  44o - 0014 
  45o - 0085 
  46o - 0077 
  47o - 0078 
