EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0097 
   2o - 0099 
   3o - 0098 
   4o - 0092 
   5o - 0096 
   6o - 0090 
   7o - 0091 
   8o - 0093 
   9o - 0095 
  10o - 0094 
  11o - 0087 
  12o - 0086 
  13o - 0085 
  14o - 0089 
  15o - 0088 
  16o - 0080 
  17o - 0083 
  18o - 0081 
  19o - 0084 
  20o - 0075 
  21o - 0077 
  22o - 0078 
  23o - 0079 
  24o - 0082 
  25o - 0076 
  26o - 0072 
  27o - 0068 
  28o - 0074 
  29o - 0023 
  30o - 0073 
  31o - 0051 
  32o - 0071 
  33o - 0022 
  34o - 0070 
  35o - 0050 
  36o - 0060 
  37o - 0061 
  38o - 0055 
  39o - 0052 
  40o - 0056 
  41o - 0053 
  42o - 0064 
  43o - 0069 
  44o - 0054 
  45o - 0067 
  46o - 0021 
  47o - 0066 
  48o - 0047 
  49o - 0065 
  50o - 0049 
  51o - 0036 
  52o - 0062 
  53o - 0048 
  54o - 0020 
  55o - 0035 
  56o - 0063 
  57o - 0013 
  58o - 0044 
  59o - 0045 
  60o - 0059 
  61o - 0057 
  62o - 0033 
  63o - 0058 
  64o - 0043 
  65o - 0042 
  66o - 0040 
  67o - 0034 
  68o - 0032 
  69o - 0038 
  70o - 0041 
  71o - 0007 
  72o - 0031 
  73o - 0028 
  74o - 0030 
  75o - 0046 
  76o - 0026 
  77o - 0029 
  78o - 0024 
  79o - 0037 
  80o - 0019 
  81o - 0039 
  82o - 0025 
  83o - 0027 
  84o - 0014 
  85o - 0015 
  86o - 0017 
  87o - 0011 
  88o - 0006 
  89o - 0016 
  90o - 0012 
  91o - 0008 
  92o - 0001 
  93o - 0000 
  94o - 0018 
  95o - 0009 
  96o - 0004 
  97o - 0003 
  98o - 0010 
  99o - 0002 
 100o - 0005 


Ranking - Rodada 2:
   1o - 0097 
   2o - 0099 
   3o - 0092 
   4o - 0096 
   5o - 0095 
   6o - 0090 
   7o - 0091 
   8o - 0093 
   9o - 0086 
  10o - 0089 
  11o - 0087 
  12o - 0085 
  13o - 0088 
  14o - 0080 
  15o - 0081 
  16o - 0084 
  17o - 0077 
  18o - 0079 
  19o - 0082 
  20o - 0075 
  21o - 0068 
  22o - 0074 
  23o - 0072 
  24o - 0023 
  25o - 0051 
  26o - 0071 
  27o - 0022 
  28o - 0070 
  29o - 0073 
  30o - 0060 
  31o - 0055 
  32o - 0054 
  33o - 0053 
  34o - 0069 
  35o - 0052 
  36o - 0056 
  37o - 0064 
  38o - 0066 
  39o - 0048 
  40o - 0020 
  41o - 0049 
  42o - 0036 
  43o - 0065 
  44o - 0035 
  45o - 0063 
  46o - 0013 
  47o - 0057 
