EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0097 
   2o - 0098 
   3o - 0099 
   4o - 0096 
   5o - 0088 
   6o - 0089 
   7o - 0091 
   8o - 0086 
   9o - 0087 
  10o - 0090 
  11o - 0095 
  12o - 0092 
  13o - 0094 
  14o - 0071 
  15o - 0078 
  16o - 0093 
  17o - 0076 
  18o - 0085 
  19o - 0080 
  20o - 0068 
  21o - 0084 
  22o - 0073 
  23o - 0067 
  24o - 0081 
  25o - 0079 
  26o - 0077 
  27o - 0082 
  28o - 0074 
  29o - 0070 
  30o - 0072 
  31o - 0062 
  32o - 0061 
  33o - 0066 
  34o - 0065 
  35o - 0060 
  36o - 0083 
  37o - 0059 
  38o - 0056 
  39o - 0063 
  40o - 0051 
  41o - 0064 
  42o - 0075 
  43o - 0069 
  44o - 0048 
  45o - 0058 
  46o - 0055 
  47o - 0053 
  48o - 0043 
  49o - 0052 
  50o - 0047 
  51o - 0050 
  52o - 0057 
  53o - 0049 
  54o - 0040 
  55o - 0044 
  56o - 0037 
  57o - 0036 
  58o - 0035 
  59o - 0046 
  60o - 0042 
  61o - 0045 
  62o - 0038 
  63o - 0029 
  64o - 0041 
  65o - 0039 
  66o - 0030 
  67o - 0034 
  68o - 0028 
  69o - 0031 
  70o - 0025 
  71o - 0054 
  72o - 0032 
  73o - 0033 
  74o - 0026 
  75o - 0027 
  76o - 0022 
  77o - 0020 
  78o - 0017 
  79o - 0016 
  80o - 0019 
  81o - 0023 
  82o - 0018 
  83o - 0024 
  84o - 0015 
  85o - 0011 
  86o - 0013 
  87o - 0010 
  88o - 0021 
  89o - 0014 
  90o - 0009 
  91o - 0006 
  92o - 0012 
  93o - 0005 
  94o - 0008 
  95o - 0007 
  96o - 0004 
  97o - 0002 
  98o - 0003 
  99o - 0000 
 100o - 0001 


Ranking - Rodada 2:
   1o - 0098 
   2o - 0097 
   3o - 0096 
   4o - 0099 
   5o - 0088 
   6o - 0091 
   7o - 0090 
   8o - 0095 
   9o - 0071 
  10o - 0080 
  11o - 0078 
  12o - 0076 
  13o - 0093 
  14o - 0092 
  15o - 0085 
  16o - 0084 
  17o - 0067 
  18o - 0081 
  19o - 0077 
  20o - 0073 
  21o - 0072 
  22o - 0062 
  23o - 0066 
  24o - 0083 
  25o - 0061 
  26o - 0056 
  27o - 0069 
  28o - 0064 
  29o - 0051 
  30o - 0059 
  31o - 0075 
  32o - 0048 
  33o - 0058 
  34o - 0043 
  35o - 0047 
  36o - 0052 
  37o - 0050 
  38o - 0049 
  39o - 0044 
  40o - 0046 
  41o - 0037 
  42o - 0035 
  43o - 0045 
  44o - 0029 
  45o - 0041 
  46o - 0039 
  47o - 0030 
