EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0040 
   2o - 0025 
   3o - 0019 
   4o - 0067 
   5o - 0024 
   6o - 0099 
   7o - 0057 
   8o - 0064 
   9o - 0059 
  10o - 0065 
  11o - 0093 
  12o - 0095 
  13o - 0098 
  14o - 0096 
  15o - 0085 
  16o - 0097 
  17o - 0089 
  18o - 0083 
  19o - 0087 
  20o - 0091 
  21o - 0072 
  22o - 0073 
  23o - 0074 
  24o - 0081 
  25o - 0071 
  26o - 0041 
  27o - 0079 
  28o - 0045 
  29o - 0049 
  30o - 0068 
  31o - 0069 
  32o - 0050 
  33o - 0055 
  34o - 0058 
  35o - 0090 
  36o - 0054 
  37o - 0094 
  38o - 0088 
  39o - 0092 
  40o - 0086 
  41o - 0084 
  42o - 0060 
  43o - 0080 
  44o - 0078 
  45o - 0077 
  46o - 0039 
  47o - 0082 
  48o - 0075 
  49o - 0047 
  50o - 0043 
  51o - 0046 
  52o - 0076 
  53o - 0056 
  54o - 0044 
  55o - 0063 
  56o - 0066 
  57o - 0048 
  58o - 0061 
  59o - 0038 
  60o - 0062 
  61o - 0051 
  62o - 0035 
  63o - 0052 
  64o - 0042 
  65o - 0070 
  66o - 0053 
  67o - 0034 
  68o - 0018 
  69o - 0016 
  70o - 0036 
  71o - 0033 
  72o - 0031 
  73o - 0020 
  74o - 0032 
  75o - 0021 
  76o - 0027 
  77o - 0014 
  78o - 0028 
  79o - 0037 
  80o - 0026 
  81o - 0030 
  82o - 0012 
  83o - 0004 
  84o - 0010 
  85o - 0015 
  86o - 0011 
  87o - 0023 
  88o - 0022 
  89o - 0009 
  90o - 0013 
  91o - 0006 
  92o - 0017 
  93o - 0000 
  94o - 0007 
  95o - 0029 
  96o - 0002 
  97o - 0008 
  98o - 0001 
  99o - 0005 
 100o - 0003 


Ranking - Rodada 2:
   1o - 0025 
   2o - 0067 
   3o - 0019 
   4o - 0057 
   5o - 0065 
   6o - 0099 
   7o - 0064 
   8o - 0095 
   9o - 0098 
  10o - 0096 
  11o - 0093 
  12o - 0087 
  13o - 0097 
  14o - 0085 
  15o - 0089 
  16o - 0081 
  17o - 0072 
  18o - 0073 
  19o - 0045 
  20o - 0041 
  21o - 0071 
  22o - 0079 
  23o - 0058 
  24o - 0055 
  25o - 0049 
  26o - 0050 
  27o - 0068 
  28o - 0088 
  29o - 0090 
  30o - 0094 
  31o - 0054 
  32o - 0060 
  33o - 0092 
  34o - 0086 
  35o - 0084 
  36o - 0039 
  37o - 0080 
  38o - 0082 
  39o - 0075 
  40o - 0046 
  41o - 0047 
  42o - 0076 
  43o - 0043 
  44o - 0056 
  45o - 0066 
  46o - 0063 
  47o - 0048 
