EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0023 
   2o - 0024 
   3o - 0032 
   4o - 0030 
   5o - 0025 
   6o - 0084 
   7o - 0086 
   8o - 0087 
   9o - 0083 
  10o - 0085 
  11o - 0033 
  12o - 0089 
  13o - 0035 
  14o - 0090 
  15o - 0088 
  16o - 0074 
  17o - 0094 
  18o - 0069 
  19o - 0070 
  20o - 0078 
  21o - 0091 
  22o - 0047 
  23o - 0044 
  24o - 0052 
  25o - 0050 
  26o - 0060 
  27o - 0058 
  28o - 0054 
  29o - 0095 
  30o - 0029 
  31o - 0099 
  32o - 0056 
  33o - 0098 
  34o - 0066 
  35o - 0092 
  36o - 0093 
  37o - 0096 
  38o - 0082 
  39o - 0076 
  40o - 0079 
  41o - 0073 
  42o - 0063 
  43o - 0080 
  44o - 0097 
  45o - 0072 
  46o - 0081 
  47o - 0071 
  48o - 0075 
  49o - 0065 
  50o - 0064 
  51o - 0034 
  52o - 0067 
  53o - 0077 
  54o - 0055 
  55o - 0068 
  56o - 0061 
  57o - 0062 
  58o - 0057 
  59o - 0045 
  60o - 0046 
  61o - 0049 
  62o - 0053 
  63o - 0059 
  64o - 0048 
  65o - 0039 
  66o - 0040 
  67o - 0051 
  68o - 0043 
  69o - 0041 
  70o - 0042 
  71o - 0031 
  72o - 0037 
  73o - 0036 
  74o - 0027 
  75o - 0038 
  76o - 0018 
  77o - 0028 
  78o - 0026 
  79o - 0017 
  80o - 0022 
  81o - 0016 
  82o - 0015 
  83o - 0021 
  84o - 0019 
  85o - 0014 
  86o - 0020 
  87o - 0000 
  88o - 0003 
  89o - 0001 
  90o - 0004 
  91o - 0012 
  92o - 0008 
  93o - 0005 
  94o - 0009 
  95o - 0002 
  96o - 0006 
  97o - 0013 
  98o - 0011 
  99o - 0007 
 100o - 0010 


Ranking - Rodada 2:
   1o - 0030 
   2o - 0032 
   3o - 0084 
   4o - 0086 
   5o - 0083 
   6o - 0088 
   7o - 0090 
   8o - 0085 
   9o - 0035 
  10o - 0070 
  11o - 0094 
  12o - 0074 
  13o - 0052 
  14o - 0044 
  15o - 0047 
  16o - 0091 
  17o - 0050 
  18o - 0060 
  19o - 0058 
  20o - 0054 
  21o - 0099 
  22o - 0029 
  23o - 0066 
  24o - 0098 
  25o - 0095 
  26o - 0056 
  27o - 0092 
  28o - 0096 
  29o - 0082 
  30o - 0093 
  31o - 0080 
  32o - 0076 
  33o - 0063 
  34o - 0097 
  35o - 0079 
  36o - 0071 
  37o - 0067 
  38o - 0064 
  39o - 0062 
  40o - 0068 
  41o - 0057 
  42o - 0055 
  43o - 0053 
  44o - 0045 
  45o - 0049 
  46o - 0046 
  47o - 0059 
