EP2 - Ciclistas!

Ranking - Rodada 1:
  40o - 0042 
  41o - 0041 
  42o - 0079 
  43o - 0049 
  44o - 0010 
  45o - 0008 
  46o - 0029 
  47o - 0064 
  48o - 0061 
  49o - 0074 
  50o - 0073 
  51o - 0085 
  52o - 0067 
  53o - 0062 
  54o - 0037 
  55o - 0069 
  56o - 0036 
  57o - 0020 
  58o - 0019 
  59o - 0051 
  60o - 0094 
  61o - 0092 
  62o - 0058 
  63o - 0071 
  64o - 0044 
  65o - 0096 
  66o - 0014 
  67o - 0097 
  68o - 0016 
  69o - 0088 
  70o - 0021 
  71o - 0009 
  72o - 0087 
  73o - 0098 
  74o - 0091 
  75o - 0011 
  76o - 0090 
  77o - 0000 
  78o - 0003 
  79o - 0002 
  80o - 0082 
  81o - 0031 
  82o - 0084 
  83o - 0034 
  84o - 0070 
  85o - 0026 
  86o - 0048 
  87o - 0063 
  88o - 0024 
  89o - 0005 
  90o - 0086 
  91o - 0081 
  92o - 0045 
  93o - 0055 
  94o - 0018 
  95o - 0099 
  96o - 0093 
  97o - 0012 
  98o - 0007 
  99o - 0060 

LISTA DELETADA 2

Ranking - Rodada 5:
   1o - 0050 
   2o - 0043 
   3o - 0040 
   4o - 0072 
   5o - 0077 
   6o - 0028 
   7o - 0027 
   8o - 0013 
   9o - 0022 
  10o - 0083 
  11o - 0056 
  12o - 0095 
  13o - 0004 
  14o - 0006 
  15o - 0001 
  16o - 0032 
  17o - 0035 
  18o - 0076 
  19o - 0054 
  20o - 0066 
  21o - 0038 
  22o - 0046 
  23o - 0025 
  24o - 0030 
  25o - 0053 
  26o - 0023 
  27o - 0078 
  28o - 0033 
  29o - 0079 
  30o - 0039 
  31o - 0049 
  32o - 0008 
  33o - 0029 
  34o - 0064 
  35o - 0061 
  36o - 0073 
  37o - 0085 
  38o - 0067 
  39o - 0052 
  40o - 0037 
  41o - 0020 
  42o - 0068 
  43o - 0051 
  44o - 0094 
  45o - 0044 
  46o - 0096 
  47o - 0014 
  48o - 0097 
  49o - 0089 
  50o - 0098 
  51o - 0009 
  52o - 0017 
  53o - 0011 
  54o - 0090 
  55o - 0000 
  56o - 0002 
  57o - 0084 
  58o - 0034 
  59o - 0080 
  60o - 0075 
  61o - 0057 
  62o - 0065 
  63o - 0059 
  64o - 0070 
  65o - 0047 
  66o - 0026 
  67o - 0042 
  68o - 0048 
  69o - 0041 
  70o - 0063 
  71o - 0010 
  72o - 0024 
  73o - 0005 
  74o - 0074 
  75o - 0086 
  76o - 0062 
  77o - 0069 
  78o - 0036 
  79o - 0019 
  80o - 0081 
  81o - 0071 
  82o - 0092 
  83o - 0058 
  84o - 0045 
  85o - 0055 
  86o - 0099 
  87o - 0016 
  88o - 0093 
  89o - 0088 
  90o - 0021 
  91o - 0087 
  92o - 0091 
  93o - 0007 
  94o - 0003 
  95o - 0082 
  96o - 0031 
  97o - 0018 
  98o - 0012 

LISTA DELETADA 2

Ranking - Rodada 6:
   1o - 0043 
   2o - 0028 
   3o - 0083 
   4o - 0095 
   5o - 0006 
   6o - 0076 
   7o - 0035 
   8o - 0066 
   9o - 0054 
  10o - 0050 
  11o - 0040 
  12o - 0078 
  13o - 0072 
  14o - 0039 
  15o - 0033 
  16o - 0008 
  17o - 0061 
  18o - 0064 
  19o - 0073 
  20o - 0013 
  21o - 0067 
  22o - 0085 
  23o - 0077 
  24o - 0052 
  25o - 0020 
  26o - 0037 
  27o - 0056 
  28o - 0051 
  29o - 0094 
  30o - 0096 
  31o - 0044 
  32o - 0089 
  33o - 0004 
  34o - 0011 
  35o - 0000 
  36o - 0090 
  37o - 0001 
  38o - 0032 
  39o - 0084 
  40o - 0080 
  41o - 0059 
  42o - 0065 
  43o - 0057 
