EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0095 
   2o - 0099 
   3o - 0096 
   4o - 0098 
   5o - 0094 
   6o - 0091 
   7o - 0097 
   8o - 0092 
   9o - 0093 
  10o - 0037 
  11o - 0089 
  12o - 0090 
  13o - 0088 
  14o - 0086 
  15o - 0081 
  16o - 0087 
  17o - 0083 
  18o - 0085 
  19o - 0084 
  20o - 0080 
  21o - 0079 
  22o - 0082 
  23o - 0077 
  24o - 0072 
  25o - 0074 
  26o - 0076 
  27o - 0075 
  28o - 0073 
  29o - 0078 
  30o - 0034 
  31o - 0069 
  32o - 0068 
  33o - 0067 
  34o - 0070 
  35o - 0071 
  36o - 0065 
  37o - 0064 
  38o - 0062 
  39o - 0057 
  40o - 0060 
  41o - 0061 
  42o - 0058 
  43o - 0063 
  44o - 0066 
  45o - 0059 
  46o - 0052 
  47o - 0054 
  48o - 0056 
  49o - 0053 
  50o - 0050 
  51o - 0047 
  52o - 0049 
  53o - 0055 
  54o - 0048 
  55o - 0042 
  56o - 0046 
  57o - 0044 
  58o - 0043 
  59o - 0045 
  60o - 0051 
  61o - 0038 
  62o - 0039 
  63o - 0041 
  64o - 0033 
  65o - 0036 
  66o - 0040 
  67o - 0032 
  68o - 0030 
  69o - 0031 
  70o - 0029 
  71o - 0027 
  72o - 0035 
  73o - 0025 
  74o - 0028 
  75o - 0026 
  76o - 0023 
  77o - 0015 
  78o - 0024 
  79o - 0017 
  80o - 0019 
  81o - 0022 
  82o - 0021 
  83o - 0013 
  84o - 0020 
  85o - 0014 
  86o - 0018 
  87o - 0016 
  88o - 0011 
  89o - 0012 
  90o - 0010 
  91o - 0009 
  92o - 0006 
  93o - 0007 
  94o - 0008 
  95o - 0005 
  96o - 0001 
  97o - 0004 
  98o - 0002 
  99o - 0003 
 100o - 0000 


Ranking - Rodada 2:
   1o - 0095 
   2o - 0099 
   3o - 0094 
   4o - 0096 
   5o - 0091 
   6o - 0093 
   7o - 0097 
   8o - 0092 
   9o - 0088 
  10o - 0089 
  11o - 0090 
  12o - 0086 
  13o - 0081 
  14o - 0087 
  15o - 0085 
  16o - 0084 
  17o - 0079 
  18o - 0082 
  19o - 0080 
  20o - 0077 
  21o - 0072 
  22o - 0074 
  23o - 0075 
  24o - 0034 
  25o - 0076 
  26o - 0069 
  27o - 0070 
  28o - 0071 
  29o - 0068 
  30o - 0065 
  31o - 0057 
  32o - 0060 
  33o - 0059 
  34o - 0066 
  35o - 0052 
  36o - 0054 
  37o - 0049 
  38o - 0047 
  39o - 0055 
  40o - 0048 
  41o - 0042 
  42o - 0043 
  43o - 0051 
  44o - 0045 
  45o - 0041 
  46o - 0040 
  47o - 0036 
