EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0070 
   2o - 0041 
   3o - 0000 
   4o - 0040 
   5o - 0017 
   6o - 0039 
   7o - 0093 
   8o - 0095 
   9o - 0096 
  10o - 0094 
  11o - 0079 
  12o - 0063 
  13o - 0080 
  14o - 0074 
  15o - 0064 
  16o - 0055 
  17o - 0012 
  18o - 0054 
  19o - 0053 
  20o - 0060 
  21o - 0084 
  22o - 0069 
  23o - 0016 
  24o - 0090 
  25o - 0068 
  26o - 0073 
  27o - 0089 
  28o - 0086 
  29o - 0085 
  30o - 0049 
  31o - 0075 
  32o - 0059 
  33o - 0088 
  34o - 0072 
  35o - 0050 
  36o - 0058 
  37o - 0071 
  38o - 0082 
  39o - 0078 
  40o - 0048 
  41o - 0099 
  42o - 0052 
  43o - 0045 
  44o - 0062 
  45o - 0061 
  46o - 0087 
  47o - 0042 
  48o - 0081 
  49o - 0083 
  50o - 0076 
  51o - 0098 
  52o - 0097 
  53o - 0092 
  54o - 0091 
  55o - 0077 
  56o - 0044 
  57o - 0038 
  58o - 0021 
  59o - 0037 
  60o - 0036 
  61o - 0065 
  62o - 0067 
  63o - 0035 
  64o - 0047 
  65o - 0066 
  66o - 0022 
  67o - 0043 
  68o - 0046 
  69o - 0057 
  70o - 0029 
  71o - 0032 
  72o - 0030 
  73o - 0056 
  74o - 0031 
  75o - 0027 
  76o - 0034 
  77o - 0002 
  78o - 0028 
  79o - 0025 
  80o - 0023 
  81o - 0051 
  82o - 0033 
  83o - 0019 
  84o - 0003 
  85o - 0020 
  86o - 0026 
  87o - 0018 
  88o - 0015 
  89o - 0011 
  90o - 0024 
  91o - 0007 
  92o - 0013 
  93o - 0014 
  94o - 0010 
  95o - 0004 
  96o - 0001 
  97o - 0008 
  98o - 0005 
  99o - 0006 
 100o - 0009 


Ranking - Rodada 2:
   1o - 0041 
   2o - 0070 
   3o - 0040 
   4o - 0017 
   5o - 0000 
   6o - 0039 
   7o - 0094 
   8o - 0095 
   9o - 0080 
  10o - 0074 
  11o - 0012 
  12o - 0069 
  13o - 0060 
  14o - 0016 
  15o - 0084 
  16o - 0068 
  17o - 0085 
  18o - 0089 
  19o - 0073 
  20o - 0059 
  21o - 0075 
  22o - 0058 
  23o - 0072 
  24o - 0071 
  25o - 0048 
  26o - 0099 
  27o - 0087 
  28o - 0045 
  29o - 0061 
  30o - 0083 
  31o - 0081 
  32o - 0097 
  33o - 0077 
  34o - 0038 
  35o - 0092 
  36o - 0091 
  37o - 0021 
  38o - 0037 
  39o - 0036 
  40o - 0043 
  41o - 0065 
  42o - 0047 
  43o - 0066 
  44o - 0035 
  45o - 0022 
  46o - 0057 
  47o - 0046 
